"scenario","lambda","cv_mse_mean","cv_mse_sd","true_fdr_mean","true_fdr_sd","est_fdr_mean","est_fdr_sd"
"independent",1.60049200576095,21.1149430495936,1.18183142504131,0,0,0,0
"independent",1.46648905393987,21.0872072519887,1.16122735300359,0,0,0,0
"independent",1.34370564650397,20.9704780826862,1.09386102855577,0,0,0,0
"independent",1.23120241477144,20.6463347312258,0.955677435850761,0,0,0,0
"independent",1.12811863973555,20.0245876838931,0.765741084049661,0,0,0,0
"independent",1.03366566703415,19.0874609699942,0.586706285383242,0,0,0,0
"independent",0.947120873258172,17.8356998643068,0.479185950605047,0,0,0,0
"independent",0.867822137437488,16.3338333569617,0.483163406138917,0,0,0,0
"independent",0.795162775407741,14.6541702880462,0.530156796816827,0,0,0,0
"independent",0.728586898302864,12.892664794131,0.571501909397825,0,0,0,0
"independent",0.66758515966292,11.1810261340565,0.566260455905887,0,0,0,0
"independent",0.611690858620008,9.61439210500916,0.513499593058892,0,0,0,0
"independent",0.560476369349204,8.25231420052197,0.444353267097835,0,0,0,0
"independent",0.513549869467659,7.09739126060451,0.377343128099524,0,0,0,0
"independent",0.470552342352066,6.1259064060612,0.319309802331764,0,0,0,0
"independent",0.431154830440396,5.31014331524257,0.270842706110428,0,0,0,0
"independent",0.395055918503962,4.62525671725526,0.230512597593636,0,0,0,0
"independent",0.3619794276353,4.05025343718565,0.197067174673936,0,0,0,0
"independent",0.33167230230944,3.56750775263825,0.169462490235574,0,0,0,0
"independent",0.303902674353299,3.16223064082138,0.14682473373368,0,0,0,0
"independent",0.278458089011369,2.82199741982279,0.128398332752599,0,0,0,0
"independent",0.25514387953599,2.53638159571495,0.11354280568069,0,0,0,0
"independent",0.233781677866854,2.29665595560564,0.101705518309736,0.000476190476190476,0.00474992510830532,0.000529100529100529,0.00527769456478369
"independent",0.214208050005496,2.09547391670257,0.0923942776887181,0.00116883116883117,0.00862214941258834,0.000781625781625782,0.00635132232182488
"independent",0.196273245644555,1.9267183429485,0.0852023613580202,0.00329004329004329,0.0136429313542123,0.00103415103415103,0.00725922527901184
"independent",0.179840052485699,1.7851724846427,0.0797327287642883,0.00614718614718615,0.0171979266352002,0.0012987012987013,0.0081328839097546
"independent",0.164782746481047,1.66660004841643,0.0756792057825661,0.0103679653679654,0.0220689734848418,0.00234487734487734,0.0108320742364936
"independent",0.150986129966773,1.56740505408427,0.0728120751186807,0.0172214379823075,0.0296288614619079,0.00515977581194972,0.0170962010677996
"independent",0.138344650330035,1.48457704525166,0.0708676046867922,0.0300978731413514,0.0387333108201745,0.00759196520066085,0.0225254107878934
"independent",0.126761592466485,1.41557537361005,0.0696451065188619,0.050659022137283,0.0485370474621204,0.0123665585622107,0.0288363832310892
"independent",0.116148338850154,1.35827723860628,0.0689929692002256,0.0800132693393563,0.0580443646650839,0.0216804117782379,0.0365934556712606
