"scenario","rep","method","idx","lambda"
"independent",1,"cv_min",39,0.0577052775937964
"independent",1,"cv_1se",35,0.0818680165596217
"independent",1,"cvc_max_lambda",38,0.0629781962783572
"independent",2,"cv_min",42,0.04439064791502
"independent",2,"cv_1se",36,0.0750135269156635
"independent",2,"cvc_max_lambda",39,0.0577052775937964
"independent",3,"cv_min",40,0.0528738398200432
"independent",3,"cv_1se",35,0.0818680165596217
"independent",3,"cvc_max_lambda",39,0.0577052775937964
"independent",4,"cv_min",43,0.0406739921413883
"independent",4,"cv_1se",36,0.0750135269156635
"independent",4,"cvc_max_lambda",39,0.0577052775937964
"independent",5,"cv_min",43,0.0406739921413883
"independent",5,"cv_1se",35,0.0818680165596217
"independent",5,"cvc_max_lambda",41,0.048446919482736
"independent",6,"cv_min",43,0.0406739921413883
"independent",6,"cv_1se",37,0.0687329369489366
"independent",6,"cvc_max_lambda",40,0.0528738398200432
"independent",7,"cv_min",41,0.048446919482736
"independent",7,"cv_1se",36,0.0750135269156635
"independent",7,"cvc_max_lambda",39,0.0577052775937964
"independent",8,"cv_min",38,0.0629781962783572
"independent",8,"cv_1se",35,0.0818680165596217
"independent",8,"cvc_max_lambda",36,0.0750135269156635
"independent",9,"cv_min",42,0.04439064791502
"independent",9,"cv_1se",35,0.0818680165596217
"independent",9,"cvc_max_lambda",40,0.0528738398200432
"independent",10,"cv_min",42,0.04439064791502
"independent",10,"cv_1se",36,0.0750135269156635
"independent",10,"cvc_max_lambda",37,0.0687329369489366
"independent",11,"cv_min",39,0.0577052775937964
"independent",11,"cv_1se",35,0.0818680165596217
"independent",11,"cvc_max_lambda",38,0.0629781962783572
"independent",12,"cv_min",42,0.04439064791502
"independent",12,"cv_1se",37,0.0687329369489366
"independent",12,"cvc_max_lambda",39,0.0577052775937964
"independent",13,"cv_min",39,0.0577052775937964
"independent",13,"cv_1se",35,0.0818680165596217
"independent",13,"cvc_max_lambda",38,0.0629781962783572
"independent",14,"cv_min",40,0.0528738398200432
"independent",14,"cv_1se",35,0.0818680165596217
"independent",14,"cvc_max_lambda",39,0.0577052775937964
"independent",15,"cv_min",41,0.048446919482736
"independent",15,"cv_1se",35,0.0818680165596217
"independent",15,"cvc_max_lambda",37,0.0687329369489366
"independent",16,"cv_min",39,0.0577052775937964
"independent",16,"cv_1se",35,0.0818680165596217
"independent",16,"cvc_max_lambda",38,0.0629781962783572
"independent",17,"cv_min",41,0.048446919482736
"independent",17,"cv_1se",36,0.0750135269156635
"independent",17,"cvc_max_lambda",39,0.0577052775937964
"independent",18,"cv_min",43,0.0406739921413883
"independent",18,"cv_1se",35,0.0818680165596217
"independent",18,"cvc_max_lambda",38,0.0629781962783572
"independent",19,"cv_min",41,0.048446919482736
"independent",19,"cv_1se",35,0.0818680165596217
"independent",19,"cvc_max_lambda",38,0.0629781962783572
"independent",20,"cv_min",42,0.04439064791502
"independent",20,"cv_1se",37,0.0687329369489366
"independent",20,"cvc_max_lambda",40,0.0528738398200432
"independent",21,"cv_min",41,0.048446919482736
"independent",21,"cv_1se",35,0.0818680165596217
"independent",21,"cvc_max_lambda",37,0.0687329369489366
"independent",22,"cv_min",41,0.048446919482736
"independent",22,"cv_1se",36,0.0750135269156635
"independent",22,"cvc_max_lambda",40,0.0528738398200432
"independent",23,"cv_min",41,0.048446919482736
"independent",23,"cv_1se",35,0.0818680165596217
"independent",23,"cvc_max_lambda",38,0.0629781962783572
"independent",24,"cv_min",40,0.0528738398200432
"independent",24,"cv_1se",36,0.0750135269156635
"independent",24,"cvc_max_lambda",39,0.0577052775937964
"independent",25,"cv_min",39,0.0577052775937964
"independent",25,"cv_1se",35,0.0818680165596217
"independent",25,"cvc_max_lambda",37,0.0687329369489366
"independent",26,"cv_min",41,0.048446919482736
"independent",26,"cv_1se",35,0.0818680165596217
"independent",26,"cvc_max_lambda",39,0.0577052775937964
"independent",27,"cv_min",40,0.0528738398200432
"independent",27,"cv_1se",36,0.0750135269156635
"independent",27,"cvc_max_lambda",38,0.0629781962783572
"independent",28,"cv_min",40,0.0528738398200432
"independent",28,"cv_1se",34,0.089348846947856
"independent",28,"cvc_max_lambda",38,0.0629781962783572
"independent",29,"cv_min",41,0.048446919482736
"independent",29,"cv_1se",36,0.0750135269156635
"independent",29,"cvc_max_lambda",41,0.048446919482736
"independent",30,"cv_min",43,0.0406739921413883
"independent",30,"cv_1se",38,0.0629781962783572
"independent",30,"cvc_max_lambda",38,0.0629781962783572
"independent",31,"cv_min",42,0.04439064791502
"independent",31,"cv_1se",34,0.089348846947856
"independent",31,"cvc_max_lambda",40,0.0528738398200432
"independent",32,"cv_min",41,0.048446919482736
"independent",32,"cv_1se",37,0.0687329369489366
"independent",32,"cvc_max_lambda",40,0.0528738398200432
"independent",33,"cv_min",40,0.0528738398200432
"independent",33,"cv_1se",33,0.0975132510398305
"independent",33,"cvc_max_lambda",38,0.0629781962783572
"independent",34,"cv_min",41,0.048446919482736
"independent",34,"cv_1se",34,0.089348846947856
"independent",34,"cvc_max_lambda",39,0.0577052775937964
"independent",35,"cv_min",41,0.048446919482736
"independent",35,"cv_1se",37,0.0687329369489366
"independent",35,"cvc_max_lambda",38,0.0629781962783572
"independent",36,"cv_min",40,0.0528738398200432
"independent",36,"cv_1se",35,0.0818680165596217
"independent",36,"cvc_max_lambda",40,0.0528738398200432
"independent",37,"cv_min",41,0.048446919482736
"independent",37,"cv_1se",34,0.089348846947856
"independent",37,"cvc_max_lambda",38,0.0629781962783572
"independent",38,"cv_min",40,0.0528738398200432
"independent",38,"cv_1se",35,0.0818680165596217
"independent",38,"cvc_max_lambda",38,0.0629781962783572
"independent",39,"cv_min",41,0.048446919482736
"independent",39,"cv_1se",36,0.0750135269156635
"independent",39,"cvc_max_lambda",38,0.0629781962783572
"independent",40,"cv_min",40,0.0528738398200432
"independent",40,"cv_1se",35,0.0818680165596217
"independent",40,"cvc_max_lambda",38,0.0629781962783572
"independent",41,"cv_min",40,0.0528738398200432
"independent",41,"cv_1se",33,0.0975132510398305
"independent",41,"cvc_max_lambda",38,0.0629781962783572
"independent",42,"cv_min",40,0.0528738398200432
"independent",42,"cv_1se",36,0.0750135269156635
"independent",42,"cvc_max_lambda",39,0.0577052775937964
"independent",43,"cv_min",42,0.04439064791502
"independent",43,"cv_1se",36,0.0750135269156635
"independent",43,"cvc_max_lambda",40,0.0528738398200432
"independent",44,"cv_min",42,0.04439064791502
"independent",44,"cv_1se",37,0.0687329369489366
"independent",44,"cvc_max_lambda",38,0.0629781962783572
"independent",45,"cv_min",43,0.0406739921413883
"independent",45,"cv_1se",35,0.0818680165596217
"independent",45,"cvc_max_lambda",40,0.0528738398200432
"independent",46,"cv_min",40,0.0528738398200432
"independent",46,"cv_1se",35,0.0818680165596217
"independent",46,"cvc_max_lambda",38,0.0629781962783572
"independent",47,"cv_min",40,0.0528738398200432
"independent",47,"cv_1se",36,0.0750135269156635
"independent",47,"cvc_max_lambda",40,0.0528738398200432
"independent",48,"cv_min",42,0.04439064791502
"independent",48,"cv_1se",37,0.0687329369489366
"independent",48,"cvc_max_lambda",39,0.0577052775937964
"independent",49,"cv_min",41,0.048446919482736
"independent",49,"cv_1se",35,0.0818680165596217
"independent",49,"cvc_max_lambda",38,0.0629781962783572
"independent",50,"cv_min",39,0.0577052775937964
"independent",50,"cv_1se",33,0.0975132510398305
"independent",50,"cvc_max_lambda",38,0.0629781962783572
"independent",51,"cv_min",39,0.0577052775937964
"independent",51,"cv_1se",34,0.089348846947856
"independent",51,"cvc_max_lambda",39,0.0577052775937964
"independent",52,"cv_min",39,0.0577052775937964
"independent",52,"cv_1se",35,0.0818680165596217
"independent",52,"cvc_max_lambda",39,0.0577052775937964
"independent",53,"cv_min",40,0.0528738398200432
"independent",53,"cv_1se",33,0.0975132510398305
"independent",53,"cvc_max_lambda",39,0.0577052775937964
"independent",54,"cv_min",43,0.0406739921413883
"independent",54,"cv_1se",36,0.0750135269156635
"independent",54,"cvc_max_lambda",39,0.0577052775937964
"independent",55,"cv_min",44,0.0372685174563073
"independent",55,"cv_1se",36,0.0750135269156635
"independent",55,"cvc_max_lambda",39,0.0577052775937964
"independent",56,"cv_min",40,0.0528738398200432
"independent",56,"cv_1se",34,0.089348846947856
"independent",56,"cvc_max_lambda",39,0.0577052775937964
"independent",57,"cv_min",40,0.0528738398200432
"independent",57,"cv_1se",35,0.0818680165596217
"independent",57,"cvc_max_lambda",38,0.0629781962783572
"independent",58,"cv_min",40,0.0528738398200432
"independent",58,"cv_1se",34,0.089348846947856
"independent",58,"cvc_max_lambda",38,0.0629781962783572
"independent",59,"cv_min",42,0.04439064791502
"independent",59,"cv_1se",38,0.0629781962783572
"independent",59,"cvc_max_lambda",40,0.0528738398200432
"independent",60,"cv_min",43,0.0406739921413883
"independent",60,"cv_1se",35,0.0818680165596217
"independent",60,"cvc_max_lambda",38,0.0629781962783572
"independent",61,"cv_min",41,0.048446919482736
"independent",61,"cv_1se",37,0.0687329369489366
"independent",61,"cvc_max_lambda",39,0.0577052775937964
"independent",62,"cv_min",40,0.0528738398200432
"independent",62,"cv_1se",34,0.089348846947856
"independent",62,"cvc_max_lambda",38,0.0629781962783572
"independent",63,"cv_min",41,0.048446919482736
"independent",63,"cv_1se",35,0.0818680165596217
"independent",63,"cvc_max_lambda",40,0.0528738398200432
"independent",64,"cv_min",43,0.0406739921413883
"independent",64,"cv_1se",35,0.0818680165596217
"independent",64,"cvc_max_lambda",39,0.0577052775937964
"independent",65,"cv_min",41,0.048446919482736
"independent",65,"cv_1se",35,0.0818680165596217
"independent",65,"cvc_max_lambda",39,0.0577052775937964
"independent",66,"cv_min",42,0.04439064791502
"independent",66,"cv_1se",39,0.0577052775937964
"independent",66,"cvc_max_lambda",40,0.0528738398200432
"independent",67,"cv_min",41,0.048446919482736
"independent",67,"cv_1se",34,0.089348846947856
"independent",67,"cvc_max_lambda",39,0.0577052775937964
"independent",68,"cv_min",43,0.0406739921413883
"independent",68,"cv_1se",35,0.0818680165596217
"independent",68,"cvc_max_lambda",39,0.0577052775937964
"independent",69,"cv_min",39,0.0577052775937964
"independent",69,"cv_1se",34,0.089348846947856
"independent",69,"cvc_max_lambda",39,0.0577052775937964
"independent",70,"cv_min",42,0.04439064791502
"independent",70,"cv_1se",35,0.0818680165596217
"independent",70,"cvc_max_lambda",41,0.048446919482736
"independent",71,"cv_min",42,0.04439064791502
"independent",71,"cv_1se",37,0.0687329369489366
"independent",71,"cvc_max_lambda",40,0.0528738398200432
"independent",72,"cv_min",40,0.0528738398200432
"independent",72,"cv_1se",35,0.0818680165596217
"independent",72,"cvc_max_lambda",38,0.0629781962783572
"independent",73,"cv_min",45,0.0341481698812089
"independent",73,"cv_1se",37,0.0687329369489366
"independent",73,"cvc_max_lambda",39,0.0577052775937964
"independent",74,"cv_min",41,0.048446919482736
"independent",74,"cv_1se",32,0.106423691554815
"independent",74,"cvc_max_lambda",38,0.0629781962783572
"independent",75,"cv_min",42,0.04439064791502
"independent",75,"cv_1se",37,0.0687329369489366
"independent",75,"cvc_max_lambda",40,0.0528738398200432
"independent",76,"cv_min",39,0.0577052775937964
"independent",76,"cv_1se",35,0.0818680165596217
"independent",76,"cvc_max_lambda",39,0.0577052775937964
"independent",77,"cv_min",39,0.0577052775937964
"independent",77,"cv_1se",34,0.089348846947856
"independent",77,"cvc_max_lambda",36,0.0750135269156635
"independent",78,"cv_min",40,0.0528738398200432
"independent",78,"cv_1se",38,0.0629781962783572
"independent",78,"cvc_max_lambda",39,0.0577052775937964
"independent",79,"cv_min",43,0.0406739921413883
"independent",79,"cv_1se",35,0.0818680165596217
"independent",79,"cvc_max_lambda",40,0.0528738398200432
"independent",80,"cv_min",41,0.048446919482736
"independent",80,"cv_1se",36,0.0750135269156635
"independent",80,"cvc_max_lambda",38,0.0629781962783572
"correlated",1,"cv_min",35,0.0818680165596217
"correlated",1,"cv_1se",28,0.150986129966773
"correlated",1,"cvc_max_lambda",30,0.126761592466485
"correlated",2,"cv_min",38,0.0629781962783572
"correlated",2,"cv_1se",29,0.138344650330035
"correlated",2,"cvc_max_lambda",33,0.0975132510398305
"correlated",3,"cv_min",40,0.0528738398200432
"correlated",3,"cv_1se",28,0.150986129966773
"correlated",3,"cvc_max_lambda",35,0.0818680165596217
"correlated",4,"cv_min",38,0.0629781962783572
"correlated",4,"cv_1se",28,0.150986129966773
"correlated",4,"cvc_max_lambda",34,0.089348846947856
"correlated",5,"cv_min",39,0.0577052775937964
"correlated",5,"cv_1se",31,0.116148338850154
"correlated",5,"cvc_max_lambda",39,0.0577052775937964
"correlated",6,"cv_min",39,0.0577052775937964
"correlated",6,"cv_1se",32,0.106423691554815
"correlated",6,"cvc_max_lambda",35,0.0818680165596217
"correlated",7,"cv_min",40,0.0528738398200432
"correlated",7,"cv_1se",28,0.150986129966773
"correlated",7,"cvc_max_lambda",36,0.0750135269156635
"correlated",8,"cv_min",36,0.0750135269156635
"correlated",8,"cv_1se",29,0.138344650330035
"correlated",8,"cvc_max_lambda",35,0.0818680165596217
"correlated",9,"cv_min",36,0.0750135269156635
"correlated",9,"cv_1se",28,0.150986129966773
"correlated",9,"cvc_max_lambda",34,0.089348846947856
"correlated",10,"cv_min",38,0.0629781962783572
"correlated",10,"cv_1se",32,0.106423691554815
"correlated",10,"cvc_max_lambda",34,0.089348846947856
"correlated",11,"cv_min",38,0.0629781962783572
"correlated",11,"cv_1se",28,0.150986129966773
"correlated",11,"cvc_max_lambda",33,0.0975132510398305
"correlated",12,"cv_min",36,0.0750135269156635
"correlated",12,"cv_1se",27,0.164782746481047
"correlated",12,"cvc_max_lambda",35,0.0818680165596217
"correlated",13,"cv_min",37,0.0687329369489366
"correlated",13,"cv_1se",28,0.150986129966773
"correlated",13,"cvc_max_lambda",32,0.106423691554815
"correlated",14,"cv_min",35,0.0818680165596217
"correlated",14,"cv_1se",28,0.150986129966773
"correlated",14,"cvc_max_lambda",33,0.0975132510398305
