"scenario","rep","method","idx","lambda"
"independent",1,"cv_min",39,0.0577052775937964
"independent",1,"cv_1se",35,0.0818680165596217
"independent",1,"cvc_max_lambda",39,0.0577052775937964
"independent",2,"cv_min",42,0.04439064791502
"independent",2,"cv_1se",36,0.0750135269156635
"independent",2,"cvc_max_lambda",39,0.0577052775937964
"independent",3,"cv_min",40,0.0528738398200432
"independent",3,"cv_1se",35,0.0818680165596217
"independent",3,"cvc_max_lambda",39,0.0577052775937964
"independent",4,"cv_min",43,0.0406739921413883
"independent",4,"cv_1se",36,0.0750135269156635
"independent",4,"cvc_max_lambda",39,0.0577052775937964
"independent",5,"cv_min",43,0.0406739921413883
"independent",5,"cv_1se",35,0.0818680165596217
"independent",5,"cvc_max_lambda",40,0.0528738398200432
"independent",6,"cv_min",43,0.0406739921413883
"independent",6,"cv_1se",37,0.0687329369489366
"independent",6,"cvc_max_lambda",40,0.0528738398200432
"independent",7,"cv_min",41,0.048446919482736
"independent",7,"cv_1se",36,0.0750135269156635
"independent",7,"cvc_max_lambda",39,0.0577052775937964
"independent",8,"cv_min",38,0.0629781962783572
"independent",8,"cv_1se",35,0.0818680165596217
"independent",8,"cvc_max_lambda",36,0.0750135269156635
"independent",9,"cv_min",42,0.04439064791502
"independent",9,"cv_1se",35,0.0818680165596217
"independent",9,"cvc_max_lambda",39,0.0577052775937964
"independent",10,"cv_min",42,0.04439064791502
"independent",10,"cv_1se",36,0.0750135269156635
"independent",10,"cvc_max_lambda",37,0.0687329369489366
"independent",11,"cv_min",39,0.0577052775937964
"independent",11,"cv_1se",35,0.0818680165596217
"independent",11,"cvc_max_lambda",37,0.0687329369489366
"independent",12,"cv_min",42,0.04439064791502
"independent",12,"cv_1se",37,0.0687329369489366
"independent",12,"cvc_max_lambda",39,0.0577052775937964
"independent",13,"cv_min",39,0.0577052775937964
"independent",13,"cv_1se",35,0.0818680165596217
"independent",13,"cvc_max_lambda",37,0.0687329369489366
"independent",14,"cv_min",40,0.0528738398200432
"independent",14,"cv_1se",35,0.0818680165596217
"independent",14,"cvc_max_lambda",39,0.0577052775937964
"independent",15,"cv_min",41,0.048446919482736
"independent",15,"cv_1se",35,0.0818680165596217
"independent",15,"cvc_max_lambda",37,0.0687329369489366
"independent",16,"cv_min",39,0.0577052775937964
"independent",16,"cv_1se",35,0.0818680165596217
"independent",16,"cvc_max_lambda",38,0.0629781962783572
"independent",17,"cv_min",41,0.048446919482736
"independent",17,"cv_1se",36,0.0750135269156635
"independent",17,"cvc_max_lambda",39,0.0577052775937964
"independent",18,"cv_min",43,0.0406739921413883
"independent",18,"cv_1se",35,0.0818680165596217
"independent",18,"cvc_max_lambda",38,0.0629781962783572
"independent",19,"cv_min",41,0.048446919482736
"independent",19,"cv_1se",35,0.0818680165596217
"independent",19,"cvc_max_lambda",38,0.0629781962783572
"independent",20,"cv_min",42,0.04439064791502
"independent",20,"cv_1se",37,0.0687329369489366
"independent",20,"cvc_max_lambda",40,0.0528738398200432
"correlated",1,"cv_min",35,0.0818680165596217
"correlated",1,"cv_1se",28,0.150986129966773
"correlated",1,"cvc_max_lambda",30,0.126761592466485
"correlated",2,"cv_min",38,0.0629781962783572
"correlated",2,"cv_1se",29,0.138344650330035
"correlated",2,"cvc_max_lambda",33,0.0975132510398305
"correlated",3,"cv_min",40,0.0528738398200432
"correlated",3,"cv_1se",28,0.150986129966773
"correlated",3,"cvc_max_lambda",35,0.0818680165596217
"correlated",4,"cv_min",38,0.0629781962783572
"correlated",4,"cv_1se",28,0.150986129966773
"correlated",4,"cvc_max_lambda",34,0.089348846947856
"correlated",5,"cv_min",39,0.0577052775937964
"correlated",5,"cv_1se",31,0.116148338850154
"correlated",5,"cvc_max_lambda",39,0.0577052775937964
"correlated",6,"cv_min",39,0.0577052775937964
"correlated",6,"cv_1se",32,0.106423691554815
"correlated",6,"cvc_max_lambda",35,0.0818680165596217
"correlated",7,"cv_min",40,0.0528738398200432
"correlated",7,"cv_1se",28,0.150986129966773
"correlated",7,"cvc_max_lambda",36,0.0750135269156635
"correlated",8,"cv_min",36,0.0750135269156635
"correlated",8,"cv_1se",29,0.138344650330035
"correlated",8,"cvc_max_lambda",35,0.0818680165596217
"correlated",9,"cv_min",36,0.0750135269156635
"correlated",9,"cv_1se",28,0.150986129966773
"correlated",9,"cvc_max_lambda",34,0.089348846947856
"correlated",10,"cv_min",38,0.0629781962783572
"correlated",10,"cv_1se",32,0.106423691554815
"correlated",10,"cvc_max_lambda",33,0.0975132510398305
"correlated",11,"cv_min",38,0.0629781962783572
"correlated",11,"cv_1se",28,0.150986129966773
"correlated",11,"cvc_max_lambda",34,0.089348846947856
"correlated",12,"cv_min",36,0.0750135269156635
"correlated",12,"cv_1se",27,0.164782746481047
"correlated",12,"cvc_max_lambda",35,0.0818680165596217
"correlated",13,"cv_min",37,0.0687329369489366
"correlated",13,"cv_1se",28,0.150986129966773
"correlated",13,"cvc_max_lambda",32,0.106423691554815
"correlated",14,"cv_min",35,0.0818680165596217
"correlated",14,"cv_1se",28,0.150986129966773
"correlated",14,"cvc_max_lambda",33,0.0975132510398305
"correlated",15,"cv_min",38,0.0629781962783572
"correlated",15,"cv_1se",28,0.150986129966773
"correlated",15,"cvc_max_lambda",39,0.0577052775937964
"correlated",16,"cv_min",39,0.0577052775937964
"correlated",16,"cv_1se",27,0.164782746481047
"correlated",16,"cvc_max_lambda",34,0.089348846947856
"correlated",17,"cv_min",40,0.0528738398200432
"correlated",17,"cv_1se",28,0.150986129966773
"correlated",17,"cvc_max_lambda",34,0.089348846947856
"correlated",18,"cv_min",36,0.0750135269156635
"correlated",18,"cv_1se",27,0.164782746481047
"correlated",18,"cvc_max_lambda",34,0.089348846947856
"correlated",19,"cv_min",37,0.0687329369489366
"correlated",19,"cv_1se",30,0.126761592466485
"correlated",19,"cvc_max_lambda",34,0.089348846947856
"correlated",20,"cv_min",36,0.0750135269156635
"correlated",20,"cv_1se",29,0.138344650330035
"correlated",20,"cvc_max_lambda",34,0.089348846947856
"independent",1,"ncv0_min",43,0.0406739921413883
"independent",1,"ncv0_1se",40,0.0528738398200432
"independent",1,"ncv1_min",47,0.0286693644966638
"independent",1,"ncv1_1se",47,0.0286693644966638
"independent",2,"ncv0_min",39,0.0577052775937964
"independent",2,"ncv0_1se",39,0.0577052775937964
"independent",2,"ncv1_min",42,0.04439064791502
"independent",2,"ncv1_1se",42,0.04439064791502
"independent",3,"ncv0_min",43,0.0406739921413883
"independent",3,"ncv0_1se",43,0.0406739921413883
"independent",3,"ncv1_min",49,0.0240695903617038
"independent",3,"ncv1_1se",49,0.0240695903617038
"independent",4,"ncv0_min",39,0.0577052775937964
"independent",4,"ncv0_1se",39,0.0577052775937964
"independent",4,"ncv1_min",46,0.0312890768355088
"independent",4,"ncv1_1se",46,0.0312890768355088
"independent",5,"ncv0_min",41,0.048446919482736
"independent",5,"ncv0_1se",41,0.048446919482736
"independent",5,"ncv1_min",46,0.0312890768355088
"independent",5,"ncv1_1se",46,0.0312890768355088
"independent",6,"ncv0_min",42,0.04439064791502
"independent",6,"ncv0_1se",42,0.04439064791502
"independent",6,"ncv1_min",48,0.0262689904519582
"independent",6,"ncv1_1se",48,0.0262689904519582
"independent",7,"ncv0_min",38,0.0629781962783572
"independent",7,"ncv0_1se",38,0.0629781962783572
"independent",7,"ncv1_min",45,0.0341481698812089
"independent",7,"ncv1_1se",45,0.0341481698812089
"independent",8,"ncv0_min",39,0.0577052775937964
"independent",8,"ncv0_1se",39,0.0577052775937964
"independent",8,"ncv1_min",43,0.0406739921413883
"independent",8,"ncv1_1se",43,0.0406739921413883
"independent",9,"ncv0_min",42,0.04439064791502
"independent",9,"ncv0_1se",42,0.04439064791502
"independent",9,"ncv1_min",46,0.0312890768355088
"independent",9,"ncv1_1se",46,0.0312890768355088
"independent",10,"ncv0_min",39,0.0577052775937964
"independent",10,"ncv0_1se",38,0.0629781962783572
"independent",10,"ncv1_min",44,0.0372685174563073
"independent",10,"ncv1_1se",44,0.0372685174563073
"independent",11,"ncv0_min",41,0.048446919482736
"independent",11,"ncv0_1se",41,0.048446919482736
"independent",11,"ncv1_min",45,0.0341481698812089
"independent",11,"ncv1_1se",45,0.0341481698812089
"independent",12,"ncv0_min",38,0.0629781962783572
"independent",12,"ncv0_1se",38,0.0629781962783572
"independent",12,"ncv1_min",44,0.0372685174563073
"independent",12,"ncv1_1se",44,0.0372685174563073
"independent",13,"ncv0_min",39,0.0577052775937964
"independent",13,"ncv0_1se",39,0.0577052775937964
"independent",13,"ncv1_min",48,0.0262689904519582
"independent",13,"ncv1_1se",45,0.0341481698812089
"independent",14,"ncv0_min",38,0.0629781962783572
"independent",14,"ncv0_1se",38,0.0629781962783572
"independent",14,"ncv1_min",46,0.0312890768355088
"independent",14,"ncv1_1se",42,0.04439064791502
"independent",15,"ncv0_min",41,0.048446919482736
"independent",15,"ncv0_1se",41,0.048446919482736
"independent",15,"ncv1_min",47,0.0286693644966638
"independent",15,"ncv1_1se",47,0.0286693644966638
"independent",16,"ncv0_min",40,0.0528738398200432
"independent",16,"ncv0_1se",38,0.0629781962783572
"independent",16,"ncv1_min",48,0.0262689904519582
"independent",16,"ncv1_1se",43,0.0406739921413883
"independent",17,"ncv0_min",39,0.0577052775937964
"independent",17,"ncv0_1se",39,0.0577052775937964
"independent",17,"ncv1_min",48,0.0262689904519582
"independent",17,"ncv1_1se",48,0.0262689904519582
"independent",18,"ncv0_min",40,0.0528738398200432
"independent",18,"ncv0_1se",40,0.0528738398200432
"independent",18,"ncv1_min",44,0.0372685174563073
"independent",18,"ncv1_1se",44,0.0372685174563073
"independent",19,"ncv0_min",40,0.0528738398200432
"independent",19,"ncv0_1se",40,0.0528738398200432
"independent",19,"ncv1_min",46,0.0312890768355088
"independent",19,"ncv1_1se",46,0.0312890768355088
"independent",20,"ncv0_min",39,0.0577052775937964
"independent",20,"ncv0_1se",39,0.0577052775937964
"independent",20,"ncv1_min",44,0.0372685174563073
"independent",20,"ncv1_1se",42,0.04439064791502
"correlated",1,"ncv0_min",37,0.0687329369489366
"correlated",1,"ncv0_1se",37,0.0687329369489366
"correlated",1,"ncv1_min",44,0.0372685174563073
"correlated",1,"ncv1_1se",44,0.0372685174563073
"correlated",2,"ncv0_min",40,0.0528738398200432
"correlated",2,"ncv0_1se",40,0.0528738398200432
"correlated",2,"ncv1_min",47,0.0286693644966638
"correlated",2,"ncv1_1se",47,0.0286693644966638
"correlated",3,"ncv0_min",34,0.089348846947856
"correlated",3,"ncv0_1se",34,0.089348846947856
"correlated",3,"ncv1_min",40,0.0528738398200432
"correlated",3,"ncv1_1se",40,0.0528738398200432
"correlated",4,"ncv0_min",40,0.0528738398200432
"correlated",4,"ncv0_1se",38,0.0629781962783572
"correlated",4,"ncv1_min",44,0.0372685174563073
"correlated",4,"ncv1_1se",44,0.0372685174563073
"correlated",5,"ncv0_min",39,0.0577052775937964
"correlated",5,"ncv0_1se",39,0.0577052775937964
"correlated",5,"ncv1_min",48,0.0262689904519582
"correlated",5,"ncv1_1se",48,0.0262689904519582
"correlated",6,"ncv0_min",36,0.0750135269156635
"correlated",6,"ncv0_1se",36,0.0750135269156635
"correlated",6,"ncv1_min",50,0.0220543374607316
"correlated",6,"ncv1_1se",41,0.048446919482736
"correlated",7,"ncv0_min",34,0.089348846947856
"correlated",7,"ncv0_1se",34,0.089348846947856
"correlated",7,"ncv1_min",40,0.0528738398200432
"correlated",7,"ncv1_1se",40,0.0528738398200432
"correlated",8,"ncv0_min",35,0.0818680165596217
"correlated",8,"ncv0_1se",35,0.0818680165596217
"correlated",8,"ncv1_min",41,0.048446919482736
"correlated",8,"ncv1_1se",41,0.048446919482736
"correlated",9,"ncv0_min",37,0.0687329369489366
"correlated",9,"ncv0_1se",37,0.0687329369489366
"correlated",9,"ncv1_min",42,0.04439064791502
"correlated",9,"ncv1_1se",42,0.04439064791502
"correlated",10,"ncv0_min",35,0.0818680165596217
"correlated",10,"ncv0_1se",35,0.0818680165596217
"correlated",10,"ncv1_min",52,0.0185158924063475
"correlated",10,"ncv1_1se",52,0.0185158924063475
"correlated",11,"ncv0_min",38,0.0629781962783572
"correlated",11,"ncv0_1se",38,0.0629781962783572
"correlated",11,"ncv1_min",46,0.0312890768355088
"correlated",11,"ncv1_1se",45,0.0341481698812089
"correlated",12,"ncv0_min",31,0.116148338850154
"correlated",12,"ncv0_1se",31,0.116148338850154
"correlated",12,"ncv1_min",35,0.0818680165596217
"correlated",12,"ncv1_1se",35,0.0818680165596217
"correlated",13,"ncv0_min",35,0.0818680165596217
"correlated",13,"ncv0_1se",35,0.0818680165596217
"correlated",13,"ncv1_min",47,0.0286693644966638
"correlated",13,"ncv1_1se",45,0.0341481698812089
"correlated",14,"ncv0_min",38,0.0629781962783572
"correlated",14,"ncv0_1se",38,0.0629781962783572
"correlated",14,"ncv1_min",52,0.0185158924063475
"correlated",14,"ncv1_1se",52,0.0185158924063475
"correlated",15,"ncv0_min",37,0.0687329369489366
"correlated",15,"ncv0_1se",35,0.0818680165596217
"correlated",15,"ncv1_min",44,0.0372685174563073
"correlated",15,"ncv1_1se",44,0.0372685174563073
"correlated",16,"ncv0_min",36,0.0750135269156635
"correlated",16,"ncv0_1se",36,0.0750135269156635
"correlated",16,"ncv1_min",41,0.048446919482736
"correlated",16,"ncv1_1se",41,0.048446919482736
"correlated",17,"ncv0_min",38,0.0629781962783572
"correlated",17,"ncv0_1se",38,0.0629781962783572
"correlated",17,"ncv1_min",44,0.0372685174563073
"correlated",17,"ncv1_1se",44,0.0372685174563073
"correlated",18,"ncv0_min",35,0.0818680165596217
"correlated",18,"ncv0_1se",35,0.0818680165596217
"correlated",18,"ncv1_min",42,0.04439064791502
"correlated",18,"ncv1_1se",42,0.04439064791502
"correlated",19,"ncv0_min",34,0.089348846947856
"correlated",19,"ncv0_1se",34,0.089348846947856
"correlated",19,"ncv1_min",47,0.0286693644966638
