"method","alpha","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct","acv_size","tie_size_min"
"cv",NA,"model1",1,40,1,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,1,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,1,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,1,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,40,1,NA,2,5,1,5,1
"cv",NA,"model1",1,40,2,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,2,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,2,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,2,5,2,5,1,5,1
"cvc_frac",0.05,"model1",1,40,2,NA,2,5,1,5,1
"cv",NA,"model1",1,40,3,13,3,5,0,NA,NA
"bic",NA,"model1",1,40,3,7,3,5,0,NA,NA
"fy",0.05,"model1",1,40,3,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,3,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,3,NA,2,5,1,8,1
"cv",NA,"model1",1,40,4,13,3,5,0,NA,NA
"bic",NA,"model1",1,40,4,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,4,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,4,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,4,NA,2,5,1,8,1
"cv",NA,"model1",1,40,5,16,5,5,0,NA,NA
"bic",NA,"model1",1,40,5,13,3,5,0,NA,NA
"fy",0.05,"model1",1,40,5,13,3,5,0,4,NA
"cvc_pmax",0.05,"model1",1,40,5,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,5,NA,2,5,1,8,1
"cv",NA,"model1",1,40,6,8,4,5,0,NA,NA
"bic",NA,"model1",1,40,6,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,6,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,6,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,6,NA,2,5,1,8,1
"cv",NA,"model1",1,40,7,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,7,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,7,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,7,5,2,5,1,6,1
"cvc_frac",0.05,"model1",1,40,7,NA,2,5,1,6,1
"cv",NA,"model1",1,40,8,7,3,5,0,NA,NA
"bic",NA,"model1",1,40,8,7,3,5,0,NA,NA
"fy",0.05,"model1",1,40,8,7,3,5,0,4,NA
"cvc_pmax",0.05,"model1",1,40,8,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,40,8,NA,2,5,1,4,1
"cv",NA,"model1",1,40,9,7,3,5,0,NA,NA
"bic",NA,"model1",1,40,9,7,3,5,0,NA,NA
"fy",0.05,"model1",1,40,9,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,9,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,9,NA,2,5,1,8,1
"cv",NA,"model1",1,40,10,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,10,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,10,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,10,5,2,5,1,8,1
"cvc_frac",0.05,"model1",1,40,10,NA,2,5,1,8,1
"cv",NA,"model1",1,40,11,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,11,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,11,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,11,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,40,11,NA,2,5,1,4,1
"cv",NA,"model1",1,40,12,13,3,5,0,NA,NA
"bic",NA,"model1",1,40,12,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,12,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,12,5,2,5,1,7,1
"cvc_frac",0.05,"model1",1,40,12,NA,2,5,1,7,1
"cv",NA,"model1",1,40,13,5,2,5,1,NA,NA
"bic",NA,"model1",1,40,13,5,2,5,1,NA,NA
"fy",0.05,"model1",1,40,13,5,2,5,1,8,NA
"cvc_pmax",0.05,"model1",1,40,13,5,2,5,1,4,1
"cvc_frac",0.05,"model1",1,40,13,NA,2,5,1,4,1
"cv",NA,"model1",1,40,14,8,4,5,0,NA,NA
"bic",NA,"model1",1,40,14,6,3,5,0,NA,NA
