"method","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct"
"cv","model1",1,40,1,5,2,5,1
"cv_1se","model1",1,40,1,5,2,5,1
"cvc","model1",1,40,1,5,2,5,1
"ncv1","model1",1,40,1,5,2,5,1
"ncv2","model1",1,40,1,5,2,5,1
"ncv3","model1",1,40,1,5,2,5,1
"cv","model1",1,40,2,7,3,5,0
"cv_1se","model1",1,40,2,5,2,5,1
"cvc","model1",1,40,2,5,2,5,1
"ncv1","model1",1,40,2,5,2,5,1
"ncv2","model1",1,40,2,8,4,5,0
"ncv3","model1",1,40,2,5,2,5,1
"cv","model1",1,40,3,15,4,5,0
"cv_1se","model1",1,40,3,5,2,5,1
"cvc","model1",1,40,3,5,2,5,1
"ncv1","model1",1,40,3,5,2,5,1
"ncv2","model1",1,40,3,13,3,5,0
"ncv3","model1",1,40,3,5,2,5,1
"cv","model1",1,40,4,16,5,5,0
"cv_1se","model1",1,40,4,5,2,5,1
"cvc","model1",1,40,4,5,2,5,1
"ncv1","model1",1,40,4,5,2,5,1
"ncv2","model1",1,40,4,13,3,5,0
"ncv3","model1",1,40,4,5,2,5,1
"cv","model1",1,40,5,6,3,5,0
"cv_1se","model1",1,40,5,5,2,5,1
"cvc","model1",1,40,5,5,2,5,1
"ncv1","model1",1,40,5,5,2,5,1
"ncv2","model1",1,40,5,7,3,5,0
"ncv3","model1",1,40,5,5,2,5,1
"cv","model1",1,40,6,5,2,5,1
"cv_1se","model1",1,40,6,5,2,5,1
"cvc","model1",1,40,6,5,2,5,1
"ncv1","model1",1,40,6,5,2,5,1
"ncv2","model1",1,40,6,5,2,5,1
"ncv3","model1",1,40,6,5,2,5,1
"cv","model1",1,40,7,7,3,5,0
"cv_1se","model1",1,40,7,5,2,5,1
"cvc","model1",1,40,7,5,2,5,1
"ncv1","model1",1,40,7,7,3,5,0
"ncv2","model1",1,40,7,7,3,5,0
"ncv3","model1",1,40,7,5,2,5,1
"cv","model1",1,40,8,7,3,5,0
"cv_1se","model1",1,40,8,5,2,5,1
"cvc","model1",1,40,8,5,2,5,1
"ncv1","model1",1,40,8,5,2,5,1
"ncv2","model1",1,40,8,7,3,5,0
"ncv3","model1",1,40,8,5,2,5,1
"cv","model1",1,40,9,7,3,5,0
"cv_1se","model1",1,40,9,5,2,5,1
"cvc","model1",1,40,9,5,2,5,1
"ncv1","model1",1,40,9,5,2,5,1
"ncv2","model1",1,40,9,7,3,5,0
"ncv3","model1",1,40,9,5,2,5,1
"cv","model1",1,40,10,5,2,5,1
"cv_1se","model1",1,40,10,5,2,5,1
"cvc","model1",1,40,10,5,2,5,1
"ncv1","model1",1,40,10,5,2,5,1
"ncv2","model1",1,40,10,5,2,5,1
"ncv3","model1",1,40,10,5,2,5,1
"cv","model1",1,40,11,5,2,5,1
"cv_1se","model1",1,40,11,5,2,5,1
"cvc","model1",1,40,11,5,2,5,1
"ncv1","model1",1,40,11,5,2,5,1
"ncv2","model1",1,40,11,5,2,5,1
"ncv3","model1",1,40,11,5,2,5,1
"cv","model1",1,40,12,5,2,5,1
"cv_1se","model1",1,40,12,5,2,5,1
"cvc","model1",1,40,12,5,2,5,1
"ncv1","model1",1,40,12,5,2,5,1
"ncv2","model1",1,40,12,5,2,5,1
"ncv3","model1",1,40,12,5,2,5,1
"cv","model1",1,40,13,14,4,5,0
"cv_1se","model1",1,40,13,5,2,5,1
"cvc","model1",1,40,13,5,2,5,1
"ncv1","model1",1,40,13,5,2,5,1
"ncv2","model1",1,40,13,8,4,5,0
"ncv3","model1",1,40,13,5,2,5,1
"cv","model1",1,40,14,5,2,5,1
"cv_1se","model1",1,40,14,5,2,5,1
"cvc","model1",1,40,14,5,2,5,1
"ncv1","model1",1,40,14,5,2,5,1
"ncv2","model1",1,40,14,5,2,5,1
"ncv3","model1",1,40,14,5,2,5,1
"cv","model1",1,40,15,5,2,5,1
"cv_1se","model1",1,40,15,5,2,5,1
"cvc","model1",1,40,15,5,2,5,1
"ncv1","model1",1,40,15,5,2,5,1
"ncv2","model1",1,40,15,5,2,5,1
"ncv3","model1",1,40,15,5,2,5,1
"cv","model1",1,40,16,5,2,5,1
"cv_1se","model1",1,40,16,5,2,5,1
"cvc","model1",1,40,16,5,2,5,1
"ncv1","model1",1,40,16,5,2,5,1
"ncv2","model1",1,40,16,5,2,5,1
"ncv3","model1",1,40,16,5,2,5,1
"cv","model1",1,40,17,5,2,5,1
"cv_1se","model1",1,40,17,5,2,5,1
"cvc","model1",1,40,17,5,2,5,1
"ncv1","model1",1,40,17,5,2,5,1
"ncv2","model1",1,40,17,5,2,5,1
"ncv3","model1",1,40,17,5,2,5,1
"cv","model1",1,40,18,6,3,5,0
"cv_1se","model1",1,40,18,5,2,5,1
"cvc","model1",1,40,18,5,2,5,1
"ncv1","model1",1,40,18,6,3,5,0
"ncv2","model1",1,40,18,6,3,5,0
"ncv3","model1",1,40,18,6,3,5,0
"cv","model1",1,40,19,5,2,5,1
"cv_1se","model1",1,40,19,5,2,5,1
"cvc","model1",1,40,19,5,2,5,1
"ncv1","model1",1,40,19,5,2,5,1
"ncv2","model1",1,40,19,5,2,5,1
"ncv3","model1",1,40,19,5,2,5,1
"cv","model1",1,40,20,5,2,5,1
"cv_1se","model1",1,40,20,5,2,5,1
"cvc","model1",1,40,20,5,2,5,1
"ncv1","model1",1,40,20,5,2,5,1
"ncv2","model1",1,40,20,5,2,5,1
"ncv3","model1",1,40,20,5,2,5,1
"cv","model1",1,40,21,5,2,5,1
"cv_1se","model1",1,40,21,5,2,5,1
"cvc","model1",1,40,21,5,2,5,1
"ncv1","model1",1,40,21,5,2,5,1
"ncv2","model1",1,40,21,5,2,5,1
"ncv3","model1",1,40,21,5,2,5,1
"cv","model1",1,40,22,5,2,5,1
"cv_1se","model1",1,40,22,5,2,5,1
"cvc","model1",1,40,22,5,2,5,1
"ncv1","model1",1,40,22,5,2,5,1
"ncv2","model1",1,40,22,5,2,5,1
"ncv3","model1",1,40,22,5,2,5,1
"cv","model1",1,40,23,5,2,5,1
"cv_1se","model1",1,40,23,5,2,5,1
"cvc","model1",1,40,23,5,2,5,1
"ncv1","model1",1,40,23,5,2,5,1
"ncv2","model1",1,40,23,13,3,5,0
"ncv3","model1",1,40,23,5,2,5,1
"cv","model1",1,40,24,5,2,5,1
"cv_1se","model1",1,40,24,5,2,5,1
"cvc","model1",1,40,24,5,2,5,1
"ncv1","model1",1,40,24,5,2,5,1
"ncv2","model1",1,40,24,5,2,5,1
"ncv3","model1",1,40,24,5,2,5,1
"cv","model1",1,40,25,13,3,5,0
"cv_1se","model1",1,40,25,5,2,5,1
"cvc","model1",1,40,25,5,2,5,1
"ncv1","model1",1,40,25,5,2,5,1
"ncv2","model1",1,40,25,13,3,5,0
"ncv3","model1",1,40,25,5,2,5,1
"cv","model1",1,40,26,14,4,5,0
"cv_1se","model1",1,40,26,5,2,5,1
"cvc","model1",1,40,26,5,2,5,1
"ncv1","model1",1,40,26,5,2,5,1
"ncv2","model1",1,40,26,5,2,5,1
"ncv3","model1",1,40,26,5,2,5,1
"cv","model1",1,40,27,14,4,5,0
"cv_1se","model1",1,40,27,5,2,5,1
"cvc","model1",1,40,27,5,2,5,1
"ncv1","model1",1,40,27,5,2,5,1
"ncv2","model1",1,40,27,6,3,5,0
"ncv3","model1",1,40,27,5,2,5,1
"cv","model1",1,40,28,5,2,5,1
"cv_1se","model1",1,40,28,5,2,5,1
"cvc","model1",1,40,28,5,2,5,1
"ncv1","model1",1,40,28,5,2,5,1
"ncv2","model1",1,40,28,7,3,5,0
"ncv3","model1",1,40,28,5,2,5,1
"cv","model1",1,40,29,5,2,5,1
"cv_1se","model1",1,40,29,5,2,5,1
"cvc","model1",1,40,29,5,2,5,1
"ncv1","model1",1,40,29,5,2,5,1
"ncv2","model1",1,40,29,5,2,5,1
"ncv3","model1",1,40,29,5,2,5,1
"cv","model1",1,40,30,5,2,5,1
"cv_1se","model1",1,40,30,5,2,5,1
"cvc","model1",1,40,30,5,2,5,1
"ncv1","model1",1,40,30,5,2,5,1
"ncv2","model1",1,40,30,5,2,5,1
"ncv3","model1",1,40,30,5,2,5,1
"cv","model1",1,40,31,5,2,5,1
"cv_1se","model1",1,40,31,5,2,5,1
"cvc","model1",1,40,31,5,2,5,1
"ncv1","model1",1,40,31,5,2,5,1
"ncv2","model1",1,40,31,6,3,5,0
"ncv3","model1",1,40,31,5,2,5,1
"cv","model1",1,40,32,5,2,5,1
"cv_1se","model1",1,40,32,5,2,5,1
"cvc","model1",1,40,32,5,2,5,1
"ncv1","model1",1,40,32,5,2,5,1
"ncv2","model1",1,40,32,8,4,5,0
"ncv3","model1",1,40,32,5,2,5,1
"cv","model1",1,40,33,7,3,5,0
"cv_1se","model1",1,40,33,5,2,5,1
"cvc","model1",1,40,33,5,2,5,1
"ncv1","model1",1,40,33,5,2,5,1
"ncv2","model1",1,40,33,5,2,5,1
"ncv3","model1",1,40,33,5,2,5,1
"cv","model1",1,40,34,6,3,5,0
"cv_1se","model1",1,40,34,5,2,5,1
"cvc","model1",1,40,34,5,2,5,1
"ncv1","model1",1,40,34,5,2,5,1
"ncv2","model1",1,40,34,5,2,5,1
"ncv3","model1",1,40,34,5,2,5,1
"cv","model1",1,40,35,5,2,5,1
"cv_1se","model1",1,40,35,5,2,5,1
"cvc","model1",1,40,35,5,2,5,1
"ncv1","model1",1,40,35,5,2,5,1
"ncv2","model1",1,40,35,5,2,5,1
"ncv3","model1",1,40,35,5,2,5,1
"cv","model1",1,40,36,5,2,5,1
"cv_1se","model1",1,40,36,5,2,5,1
"cvc","model1",1,40,36,5,2,5,1
"ncv1","model1",1,40,36,5,2,5,1
"ncv2","model1",1,40,36,13,3,5,0
"ncv3","model1",1,40,36,5,2,5,1
"cv","model1",1,40,37,13,3,5,0
"cv_1se","model1",1,40,37,5,2,5,1
"cvc","model1",1,40,37,5,2,5,1
"ncv1","model1",1,40,37,5,2,5,1
"ncv2","model1",1,40,37,5,2,5,1
"ncv3","model1",1,40,37,5,2,5,1
"cv","model1",1,40,38,5,2,5,1
"cv_1se","model1",1,40,38,5,2,5,1
"cvc","model1",1,40,38,5,2,5,1
"ncv1","model1",1,40,38,5,2,5,1
"ncv2","model1",1,40,38,5,2,5,1
"ncv3","model1",1,40,38,5,2,5,1
"cv","model1",1,40,39,6,3,5,0
"cv_1se","model1",1,40,39,5,2,5,1
"cvc","model1",1,40,39,5,2,5,1
"ncv1","model1",1,40,39,5,2,5,1
"ncv2","model1",1,40,39,8,4,5,0
"ncv3","model1",1,40,39,5,2,5,1
"cv","model1",1,40,40,7,3,5,0
"cv_1se","model1",1,40,40,5,2,5,1
"cvc","model1",1,40,40,5,2,5,1
"ncv1","model1",1,40,40,5,2,5,1
"ncv2","model1",1,40,40,7,3,5,0
"ncv3","model1",1,40,40,5,2,5,1
"cv","model1",1,40,41,5,2,5,1
"cv_1se","model1",1,40,41,5,2,5,1
"cvc","model1",1,40,41,5,2,5,1
"ncv1","model1",1,40,41,5,2,5,1
"ncv2","model1",1,40,41,5,2,5,1
"ncv3","model1",1,40,41,5,2,5,1
"cv","model1",1,40,42,5,2,5,1
"cv_1se","model1",1,40,42,5,2,5,1
"cvc","model1",1,40,42,5,2,5,1
"ncv1","model1",1,40,42,5,2,5,1
"ncv2","model1",1,40,42,5,2,5,1
"ncv3","model1",1,40,42,5,2,5,1
"cv","model1",1,40,43,5,2,5,1
"cv_1se","model1",1,40,43,5,2,5,1
"cvc","model1",1,40,43,5,2,5,1
"ncv1","model1",1,40,43,5,2,5,1
"ncv2","model1",1,40,43,5,2,5,1
"ncv3","model1",1,40,43,5,2,5,1
"cv","model1",1,40,44,13,3,5,0
"cv_1se","model1",1,40,44,5,2,5,1
"cvc","model1",1,40,44,5,2,5,1
"ncv1","model1",1,40,44,5,2,5,1
"ncv2","model1",1,40,44,5,2,5,1
"ncv3","model1",1,40,44,5,2,5,1
"cv","model1",1,40,45,5,2,5,1
"cv_1se","model1",1,40,45,5,2,5,1
"cvc","model1",1,40,45,5,2,5,1
"ncv1","model1",1,40,45,5,2,5,1
"ncv2","model1",1,40,45,5,2,5,1
"ncv3","model1",1,40,45,5,2,5,1
"cv","model1",1,40,46,5,2,5,1
"cv_1se","model1",1,40,46,5,2,5,1
"cvc","model1",1,40,46,5,2,5,1
"ncv1","model1",1,40,46,5,2,5,1
"ncv2","model1",1,40,46,5,2,5,1
"ncv3","model1",1,40,46,5,2,5,1
"cv","model1",1,40,47,5,2,5,1
"cv_1se","model1",1,40,47,5,2,5,1
"cvc","model1",1,40,47,5,2,5,1
"ncv1","model1",1,40,47,5,2,5,1
"ncv2","model1",1,40,47,5,2,5,1
"ncv3","model1",1,40,47,5,2,5,1
"cv","model1",1,40,48,5,2,5,1
"cv_1se","model1",1,40,48,5,2,5,1
"cvc","model1",1,40,48,5,2,5,1
"ncv1","model1",1,40,48,5,2,5,1
"ncv2","model1",1,40,48,5,2,5,1
"ncv3","model1",1,40,48,5,2,5,1
"cv","model1",1,40,49,5,2,5,1
"cv_1se","model1",1,40,49,5,2,5,1
"cvc","model1",1,40,49,5,2,5,1
"ncv1","model1",1,40,49,5,2,5,1
"ncv2","model1",1,40,49,7,3,5,0
"ncv3","model1",1,40,49,5,2,5,1
"cv","model1",1,40,50,6,3,5,0
"cv_1se","model1",1,40,50,5,2,5,1
"cvc","model1",1,40,50,5,2,5,1
"ncv1","model1",1,40,50,5,2,5,1
"ncv2","model1",1,40,50,6,3,5,0
"ncv3","model1",1,40,50,5,2,5,1
"cv","model1",1,40,51,5,2,5,1
"cv_1se","model1",1,40,51,5,2,5,1
"cvc","model1",1,40,51,5,2,5,1
"ncv1","model1",1,40,51,5,2,5,1
"ncv2","model1",1,40,51,6,3,5,0
"ncv3","model1",1,40,51,5,2,5,1
"cv","model1",1,40,52,6,3,5,0
"cv_1se","model1",1,40,52,5,2,5,1
"cvc","model1",1,40,52,5,2,5,1
"ncv1","model1",1,40,52,5,2,5,1
"ncv2","model1",1,40,52,5,2,5,1
"ncv3","model1",1,40,52,5,2,5,1
"cv","model1",1,40,53,5,2,5,1
"cv_1se","model1",1,40,53,5,2,5,1
"cvc","model1",1,40,53,5,2,5,1
"ncv1","model1",1,40,53,5,2,5,1
"ncv2","model1",1,40,53,5,2,5,1
"ncv3","model1",1,40,53,5,2,5,1
"cv","model1",1,40,54,6,3,5,0
"cv_1se","model1",1,40,54,5,2,5,1
"cvc","model1",1,40,54,5,2,5,1
"ncv1","model1",1,40,54,5,2,5,1
"ncv2","model1",1,40,54,6,3,5,0
"ncv3","model1",1,40,54,5,2,5,1
"cv","model1",1,40,55,5,2,5,1
"cv_1se","model1",1,40,55,5,2,5,1
"cvc","model1",1,40,55,5,2,5,1
"ncv1","model1",1,40,55,5,2,5,1
"ncv2","model1",1,40,55,5,2,5,1
"ncv3","model1",1,40,55,5,2,5,1
"cv","model1",1,40,56,5,2,5,1
"cv_1se","model1",1,40,56,5,2,5,1
"cvc","model1",1,40,56,5,2,5,1
"ncv1","model1",1,40,56,5,2,5,1
"ncv2","model1",1,40,56,5,2,5,1
"ncv3","model1",1,40,56,5,2,5,1
"cv","model1",1,40,57,5,2,5,1
"cv_1se","model1",1,40,57,5,2,5,1
"cvc","model1",1,40,57,5,2,5,1
"ncv1","model1",1,40,57,5,2,5,1
"ncv2","model1",1,40,57,5,2,5,1
"ncv3","model1",1,40,57,5,2,5,1
"cv","model1",1,40,58,5,2,5,1
"cv_1se","model1",1,40,58,5,2,5,1
"cvc","model1",1,40,58,5,2,5,1
"ncv1","model1",1,40,58,5,2,5,1
"ncv2","model1",1,40,58,5,2,5,1
"ncv3","model1",1,40,58,5,2,5,1
"cv","model1",1,40,59,5,2,5,1
"cv_1se","model1",1,40,59,5,2,5,1
"cvc","model1",1,40,59,5,2,5,1
"ncv1","model1",1,40,59,5,2,5,1
"ncv2","model1",1,40,59,13,3,5,0
"ncv3","model1",1,40,59,5,2,5,1
"cv","model1",1,40,60,15,4,5,0
"cv_1se","model1",1,40,60,5,2,5,1
"cvc","model1",1,40,60,5,2,5,1
"ncv1","model1",1,40,60,5,2,5,1
"ncv2","model1",1,40,60,13,3,5,0
"ncv3","model1",1,40,60,5,2,5,1
"cv","model1",1,40,61,6,3,5,0
"cv_1se","model1",1,40,61,5,2,5,1
"cvc","model1",1,40,61,5,2,5,1
"ncv1","model1",1,40,61,5,2,5,1
"ncv2","model1",1,40,61,6,3,5,0
"ncv3","model1",1,40,61,5,2,5,1
"cv","model1",1,40,62,8,4,5,0
"cv_1se","model1",1,40,62,5,2,5,1
"cvc","model1",1,40,62,5,2,5,1
"ncv1","model1",1,40,62,5,2,5,1
"ncv2","model1",1,40,62,8,4,5,0
"ncv3","model1",1,40,62,5,2,5,1
"cv","model1",1,40,63,5,2,5,1
"cv_1se","model1",1,40,63,5,2,5,1
"cvc","model1",1,40,63,5,2,5,1
"ncv1","model1",1,40,63,5,2,5,1
"ncv2","model1",1,40,63,5,2,5,1
"ncv3","model1",1,40,63,5,2,5,1
"cv","model1",1,40,64,6,3,5,0
"cv_1se","model1",1,40,64,5,2,5,1
"cvc","model1",1,40,64,5,2,5,1
"ncv1","model1",1,40,64,5,2,5,1
"ncv2","model1",1,40,64,5,2,5,1
"ncv3","model1",1,40,64,5,2,5,1
"cv","model1",1,40,65,13,3,5,0
"cv_1se","model1",1,40,65,5,2,5,1
"cvc","model1",1,40,65,5,2,5,1
"ncv1","model1",1,40,65,5,2,5,1
"ncv2","model1",1,40,65,13,3,5,0
"ncv3","model1",1,40,65,5,2,5,1
"cv","model1",1,40,66,5,2,5,1
"cv_1se","model1",1,40,66,5,2,5,1
"cvc","model1",1,40,66,5,2,5,1
"ncv1","model1",1,40,66,5,2,5,1
"ncv2","model1",1,40,66,5,2,5,1
"ncv3","model1",1,40,66,5,2,5,1
"cv","model1",1,40,67,6,3,5,0
"cv_1se","model1",1,40,67,5,2,5,1
"cvc","model1",1,40,67,5,2,5,1
"ncv1","model1",1,40,67,5,2,5,1
"ncv2","model1",1,40,67,5,2,5,1
"ncv3","model1",1,40,67,5,2,5,1
"cv","model1",1,40,68,5,2,5,1
"cv_1se","model1",1,40,68,5,2,5,1
"cvc","model1",1,40,68,5,2,5,1
"ncv1","model1",1,40,68,5,2,5,1
"ncv2","model1",1,40,68,6,3,5,0
"ncv3","model1",1,40,68,5,2,5,1
"cv","model1",1,40,69,5,2,5,1
"cv_1se","model1",1,40,69,5,2,5,1
"cvc","model1",1,40,69,5,2,5,1
"ncv1","model1",1,40,69,5,2,5,1
"ncv2","model1",1,40,69,6,3,5,0
"ncv3","model1",1,40,69,5,2,5,1
"cv","model1",1,40,70,13,3,5,0
"cv_1se","model1",1,40,70,5,2,5,1
"cvc","model1",1,40,70,5,2,5,1
"ncv1","model1",1,40,70,5,2,5,1
"ncv2","model1",1,40,70,5,2,5,1
"ncv3","model1",1,40,70,5,2,5,1
"cv","model1",1,40,71,5,2,5,1
"cv_1se","model1",1,40,71,5,2,5,1
"cvc","model1",1,40,71,5,2,5,1
"ncv1","model1",1,40,71,5,2,5,1
"ncv2","model1",1,40,71,5,2,5,1
"ncv3","model1",1,40,71,5,2,5,1
"cv","model1",1,40,72,7,3,5,0
"cv_1se","model1",1,40,72,5,2,5,1
"cvc","model1",1,40,72,5,2,5,1
"ncv1","model1",1,40,72,5,2,5,1
"ncv2","model1",1,40,72,5,2,5,1
"ncv3","model1",1,40,72,5,2,5,1
"cv","model1",1,40,73,6,3,5,0
"cv_1se","model1",1,40,73,5,2,5,1
"cvc","model1",1,40,73,5,2,5,1
"ncv1","model1",1,40,73,5,2,5,1
"ncv2","model1",1,40,73,7,3,5,0
"ncv3","model1",1,40,73,5,2,5,1
"cv","model1",1,40,74,5,2,5,1
"cv_1se","model1",1,40,74,5,2,5,1
"cvc","model1",1,40,74,5,2,5,1
"ncv1","model1",1,40,74,5,2,5,1
"ncv2","model1",1,40,74,5,2,5,1
"ncv3","model1",1,40,74,5,2,5,1
"cv","model1",1,40,75,5,2,5,1
"cv_1se","model1",1,40,75,5,2,5,1
"cvc","model1",1,40,75,5,2,5,1
"ncv1","model1",1,40,75,6,3,5,0
"ncv2","model1",1,40,75,6,3,5,0
"ncv3","model1",1,40,75,6,3,5,0
"cv","model1",1,40,76,6,3,5,0
"cv_1se","model1",1,40,76,5,2,5,1
"cvc","model1",1,40,76,5,2,5,1
"ncv1","model1",1,40,76,5,2,5,1
"ncv2","model1",1,40,76,5,2,5,1
"ncv3","model1",1,40,76,5,2,5,1
"cv","model1",1,40,77,7,3,5,0
"cv_1se","model1",1,40,77,5,2,5,1
"cvc","model1",1,40,77,5,2,5,1
"ncv1","model1",1,40,77,5,2,5,1
"ncv2","model1",1,40,77,5,2,5,1
"ncv3","model1",1,40,77,5,2,5,1
"cv","model1",1,40,78,5,2,5,1
"cv_1se","model1",1,40,78,5,2,5,1
"cvc","model1",1,40,78,5,2,5,1
"ncv1","model1",1,40,78,5,2,5,1
"ncv2","model1",1,40,78,5,2,5,1
"ncv3","model1",1,40,78,5,2,5,1
"cv","model1",1,40,79,13,3,5,0
"cv_1se","model1",1,40,79,5,2,5,1
"cvc","model1",1,40,79,5,2,5,1
"ncv1","model1",1,40,79,5,2,5,1
"ncv2","model1",1,40,79,13,3,5,0
"ncv3","model1",1,40,79,5,2,5,1
"cv","model1",1,40,80,6,3,5,0
"cv_1se","model1",1,40,80,5,2,5,1
"cvc","model1",1,40,80,5,2,5,1
"ncv1","model1",1,40,80,5,2,5,1
"ncv2","model1",1,40,80,6,3,5,0
"ncv3","model1",1,40,80,5,2,5,1
"cv","model1",1,40,81,5,2,5,1
"cv_1se","model1",1,40,81,5,2,5,1
"cvc","model1",1,40,81,5,2,5,1
"ncv1","model1",1,40,81,5,2,5,1
"ncv2","model1",1,40,81,5,2,5,1
"ncv3","model1",1,40,81,5,2,5,1
"cv","model1",1,40,82,7,3,5,0
"cv_1se","model1",1,40,82,5,2,5,1
"cvc","model1",1,40,82,5,2,5,1
"ncv1","model1",1,40,82,5,2,5,1
"ncv2","model1",1,40,82,7,3,5,0
"ncv3","model1",1,40,82,5,2,5,1
"cv","model1",1,40,83,8,4,5,0
"cv_1se","model1",1,40,83,5,2,5,1
"cvc","model1",1,40,83,5,2,5,1
"ncv1","model1",1,40,83,5,2,5,1
"ncv2","model1",1,40,83,7,3,5,0
"ncv3","model1",1,40,83,5,2,5,1
"cv","model1",1,40,84,6,3,5,0
"cv_1se","model1",1,40,84,5,2,5,1
"cvc","model1",1,40,84,5,2,5,1
"ncv1","model1",1,40,84,5,2,5,1
"ncv2","model1",1,40,84,6,3,5,0
"ncv3","model1",1,40,84,5,2,5,1
"cv","model1",1,40,85,6,3,5,0
"cv_1se","model1",1,40,85,5,2,5,1
"cvc","model1",1,40,85,5,2,5,1
"ncv1","model1",1,40,85,5,2,5,1
"ncv2","model1",1,40,85,6,3,5,0
"ncv3","model1",1,40,85,5,2,5,1
"cv","model1",1,40,86,8,4,5,0
"cv_1se","model1",1,40,86,5,2,5,1
"cvc","model1",1,40,86,5,2,5,1
"ncv1","model1",1,40,86,5,2,5,1
"ncv2","model1",1,40,86,5,2,5,1
"ncv3","model1",1,40,86,5,2,5,1
"cv","model1",1,40,87,7,3,5,0
"cv_1se","model1",1,40,87,5,2,5,1
"cvc","model1",1,40,87,5,2,5,1
"ncv1","model1",1,40,87,5,2,5,1
"ncv2","model1",1,40,87,5,2,5,1
"ncv3","model1",1,40,87,5,2,5,1
"cv","model1",1,40,88,5,2,5,1
"cv_1se","model1",1,40,88,5,2,5,1
"cvc","model1",1,40,88,5,2,5,1
"ncv1","model1",1,40,88,5,2,5,1
"ncv2","model1",1,40,88,5,2,5,1
"ncv3","model1",1,40,88,5,2,5,1
"cv","model1",1,40,89,5,2,5,1
"cv_1se","model1",1,40,89,5,2,5,1
"cvc","model1",1,40,89,5,2,5,1
"ncv1","model1",1,40,89,5,2,5,1
"ncv2","model1",1,40,89,5,2,5,1
"ncv3","model1",1,40,89,5,2,5,1
"cv","model1",1,40,90,13,3,5,0
"cv_1se","model1",1,40,90,5,2,5,1
"cvc","model1",1,40,90,5,2,5,1
"ncv1","model1",1,40,90,5,2,5,1
"ncv2","model1",1,40,90,5,2,5,1
"ncv3","model1",1,40,90,5,2,5,1
"cv","model1",1,40,91,8,4,5,0
"cv_1se","model1",1,40,91,5,2,5,1
"cvc","model1",1,40,91,5,2,5,1
"ncv1","model1",1,40,91,5,2,5,1
"ncv2","model1",1,40,91,5,2,5,1
"ncv3","model1",1,40,91,5,2,5,1
"cv","model1",1,40,92,5,2,5,1
"cv_1se","model1",1,40,92,5,2,5,1
"cvc","model1",1,40,92,5,2,5,1
"ncv1","model1",1,40,92,5,2,5,1
"ncv2","model1",1,40,92,13,3,5,0
"ncv3","model1",1,40,92,5,2,5,1
"cv","model1",1,40,93,5,2,5,1
"cv_1se","model1",1,40,93,5,2,5,1
"cvc","model1",1,40,93,5,2,5,1
"ncv1","model1",1,40,93,5,2,5,1
"ncv2","model1",1,40,93,5,2,5,1
"ncv3","model1",1,40,93,5,2,5,1
"cv","model1",1,40,94,6,3,5,0
"cv_1se","model1",1,40,94,5,2,5,1
"cvc","model1",1,40,94,5,2,5,1
"ncv1","model1",1,40,94,5,2,5,1
"ncv2","model1",1,40,94,5,2,5,1
"ncv3","model1",1,40,94,5,2,5,1
"cv","model1",1,40,95,5,2,5,1
