"method","model_name","sigma2","n","rep","selected_model_id","selected_size","true_model_id","correct"
"cv","model1",1,40,1,5,2,5,1
"cv_1se","model1",1,40,1,5,2,5,1
"cvc","model1",1,40,1,5,2,5,1
"ncv1","model1",1,40,1,5,2,5,1
"ncv2","model1",1,40,1,5,2,5,1
"ncv3","model1",1,40,1,5,2,5,1
"cv","model1",1,40,2,7,3,5,0
"cv_1se","model1",1,40,2,5,2,5,1
"cvc","model1",1,40,2,5,2,5,1
"ncv1","model1",1,40,2,5,2,5,1
"ncv2","model1",1,40,2,8,4,5,0
"ncv3","model1",1,40,2,5,2,5,1
"cv","model1",1,40,3,15,4,5,0
"cv_1se","model1",1,40,3,5,2,5,1
"cvc","model1",1,40,3,5,2,5,1
"ncv1","model1",1,40,3,5,2,5,1
"ncv2","model1",1,40,3,13,3,5,0
"ncv3","model1",1,40,3,5,2,5,1
"cv","model1",1,40,4,16,5,5,0
"cv_1se","model1",1,40,4,5,2,5,1
"cvc","model1",1,40,4,5,2,5,1
"ncv1","model1",1,40,4,5,2,5,1
"ncv2","model1",1,40,4,13,3,5,0
"ncv3","model1",1,40,4,5,2,5,1
"cv","model1",1,40,5,6,3,5,0
"cv_1se","model1",1,40,5,5,2,5,1
"cvc","model1",1,40,5,5,2,5,1
"ncv1","model1",1,40,5,5,2,5,1
"ncv2","model1",1,40,5,7,3,5,0
"ncv3","model1",1,40,5,5,2,5,1
"cv","model1",1,40,6,5,2,5,1
"cv_1se","model1",1,40,6,5,2,5,1
"cvc","model1",1,40,6,5,2,5,1
"ncv1","model1",1,40,6,5,2,5,1
"ncv2","model1",1,40,6,5,2,5,1
"ncv3","model1",1,40,6,5,2,5,1
"cv","model1",1,40,7,7,3,5,0
"cv_1se","model1",1,40,7,5,2,5,1
"cvc","model1",1,40,7,5,2,5,1
"ncv1","model1",1,40,7,7,3,5,0
"ncv2","model1",1,40,7,7,3,5,0
"ncv3","model1",1,40,7,5,2,5,1
"cv","model1",1,40,8,7,3,5,0
"cv_1se","model1",1,40,8,5,2,5,1
"cvc","model1",1,40,8,5,2,5,1
"ncv1","model1",1,40,8,5,2,5,1
"ncv2","model1",1,40,8,7,3,5,0
"ncv3","model1",1,40,8,5,2,5,1
"cv","model1",1,40,9,7,3,5,0
"cv_1se","model1",1,40,9,5,2,5,1
"cvc","model1",1,40,9,5,2,5,1
"ncv1","model1",1,40,9,5,2,5,1
"ncv2","model1",1,40,9,7,3,5,0
"ncv3","model1",1,40,9,5,2,5,1
"cv","model1",1,40,10,5,2,5,1
"cv_1se","model1",1,40,10,5,2,5,1
"cvc","model1",1,40,10,5,2,5,1
"ncv1","model1",1,40,10,5,2,5,1
"ncv2","model1",1,40,10,5,2,5,1
"ncv3","model1",1,40,10,5,2,5,1
"cv","model1",1,80,1,5,2,5,1
"cv_1se","model1",1,80,1,5,2,5,1
"cvc","model1",1,80,1,5,2,5,1
"ncv1","model1",1,80,1,5,2,5,1
"ncv2","model1",1,80,1,5,2,5,1
"ncv3","model1",1,80,1,5,2,5,1
"cv","model1",1,80,2,13,3,5,0
"cv_1se","model1",1,80,2,5,2,5,1
"cvc","model1",1,80,2,5,2,5,1
"ncv1","model1",1,80,2,5,2,5,1
"ncv2","model1",1,80,2,13,3,5,0
"ncv3","model1",1,80,2,5,2,5,1
"cv","model1",1,80,3,5,2,5,1
"cv_1se","model1",1,80,3,5,2,5,1
"cvc","model1",1,80,3,5,2,5,1
"ncv1","model1",1,80,3,5,2,5,1
"ncv2","model1",1,80,3,5,2,5,1
"ncv3","model1",1,80,3,5,2,5,1
"cv","model1",1,80,4,7,3,5,0
"cv_1se","model1",1,80,4,5,2,5,1
"cvc","model1",1,80,4,5,2,5,1
"ncv1","model1",1,80,4,5,2,5,1
"ncv2","model1",1,80,4,5,2,5,1
"ncv3","model1",1,80,4,5,2,5,1
"cv","model1",1,80,5,15,4,5,0
"cv_1se","model1",1,80,5,5,2,5,1
"cvc","model1",1,80,5,5,2,5,1
"ncv1","model1",1,80,5,5,2,5,1
"ncv2","model1",1,80,5,13,3,5,0
"ncv3","model1",1,80,5,5,2,5,1
"cv","model1",1,80,6,13,3,5,0
"cv_1se","model1",1,80,6,5,2,5,1
"cvc","model1",1,80,6,5,2,5,1
"ncv1","model1",1,80,6,5,2,5,1
"ncv2","model1",1,80,6,5,2,5,1
"ncv3","model1",1,80,6,5,2,5,1
"cv","model1",1,80,7,7,3,5,0
"cv_1se","model1",1,80,7,5,2,5,1
"cvc","model1",1,80,7,5,2,5,1
"ncv1","model1",1,80,7,5,2,5,1
"ncv2","model1",1,80,7,5,2,5,1
"ncv3","model1",1,80,7,5,2,5,1
"cv","model1",1,80,8,14,4,5,0
"cv_1se","model1",1,80,8,5,2,5,1
"cvc","model1",1,80,8,5,2,5,1
"ncv1","model1",1,80,8,5,2,5,1
"ncv2","model1",1,80,8,14,4,5,0
"ncv3","model1",1,80,8,5,2,5,1
"cv","model1",1,80,9,15,4,5,0
"cv_1se","model1",1,80,9,5,2,5,1
"cvc","model1",1,80,9,5,2,5,1
"ncv1","model1",1,80,9,5,2,5,1
"ncv2","model1",1,80,9,7,3,5,0
"ncv3","model1",1,80,9,5,2,5,1
"cv","model1",1,80,10,7,3,5,0
"cv_1se","model1",1,80,10,5,2,5,1
"cvc","model1",1,80,10,5,2,5,1
"ncv1","model1",1,80,10,5,2,5,1
"ncv2","model1",1,80,10,6,3,5,0
"ncv3","model1",1,80,10,5,2,5,1
"cv","model1",4,40,1,5,2,5,1
"cv_1se","model1",4,40,1,5,2,5,1
"cvc","model1",4,40,1,5,2,5,1
"ncv1","model1",4,40,1,5,2,5,1
"ncv2","model1",4,40,1,5,2,5,1
"ncv3","model1",4,40,1,5,2,5,1
"cv","model1",4,40,2,5,2,5,1
"cv_1se","model1",4,40,2,5,2,5,1
"cvc","model1",4,40,2,5,2,5,1
"ncv1","model1",4,40,2,5,2,5,1
"ncv2","model1",4,40,2,5,2,5,1
"ncv3","model1",4,40,2,5,2,5,1
"cv","model1",4,40,3,5,2,5,1
"cv_1se","model1",4,40,3,5,2,5,1
"cvc","model1",4,40,3,5,2,5,1
"ncv1","model1",4,40,3,5,2,5,1
"ncv2","model1",4,40,3,13,3,5,0
"ncv3","model1",4,40,3,5,2,5,1
"cv","model1",4,40,4,5,2,5,1
"cv_1se","model1",4,40,4,5,2,5,1
"cvc","model1",4,40,4,5,2,5,1
"ncv1","model1",4,40,4,5,2,5,1
"ncv2","model1",4,40,4,5,2,5,1
"ncv3","model1",4,40,4,5,2,5,1
"cv","model1",4,40,5,13,3,5,0
"cv_1se","model1",4,40,5,5,2,5,1
"cvc","model1",4,40,5,5,2,5,1
"ncv1","model1",4,40,5,5,2,5,1
"ncv2","model1",4,40,5,13,3,5,0
"ncv3","model1",4,40,5,5,2,5,1
"cv","model1",4,40,6,14,4,5,0
"cv_1se","model1",4,40,6,5,2,5,1
"cvc","model1",4,40,6,5,2,5,1
"ncv1","model1",4,40,6,5,2,5,1
"ncv2","model1",4,40,6,5,2,5,1
"ncv3","model1",4,40,6,5,2,5,1
"cv","model1",4,40,7,14,4,5,0
"cv_1se","model1",4,40,7,5,2,5,1
"cvc","model1",4,40,7,5,2,5,1
"ncv1","model1",4,40,7,5,2,5,1
"ncv2","model1",4,40,7,6,3,5,0
"ncv3","model1",4,40,7,5,2,5,1
"cv","model1",4,40,8,5,2,5,1
"cv_1se","model1",4,40,8,5,2,5,1
"cvc","model1",4,40,8,5,2,5,1
"ncv1","model1",4,40,8,5,2,5,1
"ncv2","model1",4,40,8,7,3,5,0
"ncv3","model1",4,40,8,5,2,5,1
"cv","model1",4,40,9,5,2,5,1
"cv_1se","model1",4,40,9,5,2,5,1
"cvc","model1",4,40,9,5,2,5,1
"ncv1","model1",4,40,9,5,2,5,1
"ncv2","model1",4,40,9,5,2,5,1
"ncv3","model1",4,40,9,5,2,5,1
"cv","model1",4,40,10,5,2,5,1
"cv_1se","model1",4,40,10,5,2,5,1
"cvc","model1",4,40,10,5,2,5,1
"ncv1","model1",4,40,10,5,2,5,1
"ncv2","model1",4,40,10,5,2,5,1
"ncv3","model1",4,40,10,5,2,5,1
"cv","model1",4,80,1,5,2,5,1
"cv_1se","model1",4,80,1,5,2,5,1
"cvc","model1",4,80,1,5,2,5,1
"ncv1","model1",4,80,1,5,2,5,1
"ncv2","model1",4,80,1,5,2,5,1
"ncv3","model1",4,80,1,5,2,5,1
"cv","model1",4,80,2,8,4,5,0
"cv_1se","model1",4,80,2,5,2,5,1
"cvc","model1",4,80,2,5,2,5,1
"ncv1","model1",4,80,2,5,2,5,1
"ncv2","model1",4,80,2,5,2,5,1
"ncv3","model1",4,80,2,5,2,5,1
"cv","model1",4,80,3,5,2,5,1
"cv_1se","model1",4,80,3,5,2,5,1
"cvc","model1",4,80,3,5,2,5,1
"ncv1","model1",4,80,3,5,2,5,1
"ncv2","model1",4,80,3,6,3,5,0
"ncv3","model1",4,80,3,5,2,5,1
"cv","model1",4,80,4,7,3,5,0
"cv_1se","model1",4,80,4,5,2,5,1
"cvc","model1",4,80,4,5,2,5,1
"ncv1","model1",4,80,4,5,2,5,1
"ncv2","model1",4,80,4,7,3,5,0
"ncv3","model1",4,80,4,5,2,5,1
"cv","model1",4,80,5,6,3,5,0
"cv_1se","model1",4,80,5,5,2,5,1
"cvc","model1",4,80,5,5,2,5,1
"ncv1","model1",4,80,5,5,2,5,1
"ncv2","model1",4,80,5,5,2,5,1
"ncv3","model1",4,80,5,5,2,5,1
"cv","model1",4,80,6,5,2,5,1
"cv_1se","model1",4,80,6,5,2,5,1
"cvc","model1",4,80,6,5,2,5,1
"ncv1","model1",4,80,6,5,2,5,1
"ncv2","model1",4,80,6,5,2,5,1
"ncv3","model1",4,80,6,5,2,5,1
"cv","model1",4,80,7,5,2,5,1
"cv_1se","model1",4,80,7,5,2,5,1
"cvc","model1",4,80,7,5,2,5,1
"ncv1","model1",4,80,7,5,2,5,1
"ncv2","model1",4,80,7,5,2,5,1
"ncv3","model1",4,80,7,5,2,5,1
"cv","model1",4,80,8,5,2,5,1
"cv_1se","model1",4,80,8,5,2,5,1
"cvc","model1",4,80,8,5,2,5,1
"ncv1","model1",4,80,8,5,2,5,1
"ncv2","model1",4,80,8,7,3,5,0
"ncv3","model1",4,80,8,5,2,5,1
"cv","model1",4,80,9,5,2,5,1
"cv_1se","model1",4,80,9,5,2,5,1
"cvc","model1",4,80,9,5,2,5,1
"ncv1","model1",4,80,9,5,2,5,1
"ncv2","model1",4,80,9,5,2,5,1
"ncv3","model1",4,80,9,5,2,5,1
"cv","model1",4,80,10,7,3,5,0
"cv_1se","model1",4,80,10,5,2,5,1
"cvc","model1",4,80,10,5,2,5,1
"ncv1","model1",4,80,10,5,2,5,1
"ncv2","model1",4,80,10,5,2,5,1
"ncv3","model1",4,80,10,5,2,5,1
"cv","model2",1,40,1,14,4,14,1
"cv_1se","model2",1,40,1,14,4,14,1
"cvc","model2",1,40,1,14,4,14,1
"ncv1","model2",1,40,1,14,4,14,1
"ncv2","model2",1,40,1,14,4,14,1
"ncv3","model2",1,40,1,14,4,14,1
"cv","model2",1,40,2,14,4,14,1
"cv_1se","model2",1,40,2,14,4,14,1
"cvc","model2",1,40,2,14,4,14,1
"ncv1","model2",1,40,2,14,4,14,1
"ncv2","model2",1,40,2,14,4,14,1
"ncv3","model2",1,40,2,14,4,14,1
"cv","model2",1,40,3,14,4,14,1
"cv_1se","model2",1,40,3,14,4,14,1
"cvc","model2",1,40,3,14,4,14,1
"ncv1","model2",1,40,3,14,4,14,1
"ncv2","model2",1,40,3,14,4,14,1
"ncv3","model2",1,40,3,14,4,14,1
"cv","model2",1,40,4,14,4,14,1
"cv_1se","model2",1,40,4,14,4,14,1
"cvc","model2",1,40,4,14,4,14,1
"ncv1","model2",1,40,4,14,4,14,1
"ncv2","model2",1,40,4,14,4,14,1
"ncv3","model2",1,40,4,14,4,14,1
"cv","model2",1,40,5,14,4,14,1
"cv_1se","model2",1,40,5,14,4,14,1
"cvc","model2",1,40,5,14,4,14,1
"ncv1","model2",1,40,5,14,4,14,1
"ncv2","model2",1,40,5,14,4,14,1
"ncv3","model2",1,40,5,14,4,14,1
"cv","model2",1,40,6,14,4,14,1
"cv_1se","model2",1,40,6,14,4,14,1
"cvc","model2",1,40,6,14,4,14,1
"ncv1","model2",1,40,6,14,4,14,1
"ncv2","model2",1,40,6,14,4,14,1
"ncv3","model2",1,40,6,14,4,14,1
"cv","model2",1,40,7,14,4,14,1
"cv_1se","model2",1,40,7,14,4,14,1
"cvc","model2",1,40,7,14,4,14,1
"ncv1","model2",1,40,7,14,4,14,1
"ncv2","model2",1,40,7,14,4,14,1
"ncv3","model2",1,40,7,14,4,14,1
"cv","model2",1,40,8,14,4,14,1
"cv_1se","model2",1,40,8,14,4,14,1
"cvc","model2",1,40,8,14,4,14,1
"ncv1","model2",1,40,8,14,4,14,1
"ncv2","model2",1,40,8,14,4,14,1
"ncv3","model2",1,40,8,14,4,14,1
"cv","model2",1,40,9,14,4,14,1
"cv_1se","model2",1,40,9,14,4,14,1
"cvc","model2",1,40,9,14,4,14,1
"ncv1","model2",1,40,9,14,4,14,1
"ncv2","model2",1,40,9,14,4,14,1
"ncv3","model2",1,40,9,14,4,14,1
"cv","model2",1,40,10,14,4,14,1
"cv_1se","model2",1,40,10,14,4,14,1
"cvc","model2",1,40,10,14,4,14,1
"ncv1","model2",1,40,10,14,4,14,1
"ncv2","model2",1,40,10,14,4,14,1
"ncv3","model2",1,40,10,14,4,14,1
"cv","model2",1,80,1,16,5,14,0
"cv_1se","model2",1,80,1,14,4,14,1
"cvc","model2",1,80,1,14,4,14,1
"ncv1","model2",1,80,1,14,4,14,1
"ncv2","model2",1,80,1,14,4,14,1
"ncv3","model2",1,80,1,14,4,14,1
"cv","model2",1,80,2,14,4,14,1
"cv_1se","model2",1,80,2,14,4,14,1
"cvc","model2",1,80,2,14,4,14,1
"ncv1","model2",1,80,2,14,4,14,1
"ncv2","model2",1,80,2,14,4,14,1
"ncv3","model2",1,80,2,14,4,14,1
"cv","model2",1,80,3,14,4,14,1
"cv_1se","model2",1,80,3,14,4,14,1
"cvc","model2",1,80,3,14,4,14,1
"ncv1","model2",1,80,3,14,4,14,1
"ncv2","model2",1,80,3,14,4,14,1
"ncv3","model2",1,80,3,14,4,14,1
"cv","model2",1,80,4,14,4,14,1
"cv_1se","model2",1,80,4,14,4,14,1
"cvc","model2",1,80,4,14,4,14,1
"ncv1","model2",1,80,4,14,4,14,1
"ncv2","model2",1,80,4,14,4,14,1
"ncv3","model2",1,80,4,14,4,14,1
"cv","model2",1,80,5,14,4,14,1
"cv_1se","model2",1,80,5,14,4,14,1
"cvc","model2",1,80,5,14,4,14,1
"ncv1","model2",1,80,5,14,4,14,1
"ncv2","model2",1,80,5,14,4,14,1
"ncv3","model2",1,80,5,14,4,14,1
"cv","model2",1,80,6,14,4,14,1
"cv_1se","model2",1,80,6,14,4,14,1
"cvc","model2",1,80,6,14,4,14,1
"ncv1","model2",1,80,6,14,4,14,1
"ncv2","model2",1,80,6,14,4,14,1
"ncv3","model2",1,80,6,14,4,14,1
"cv","model2",1,80,7,14,4,14,1
"cv_1se","model2",1,80,7,14,4,14,1
"cvc","model2",1,80,7,14,4,14,1
"ncv1","model2",1,80,7,14,4,14,1
"ncv2","model2",1,80,7,14,4,14,1
"ncv3","model2",1,80,7,14,4,14,1
"cv","model2",1,80,8,14,4,14,1
"cv_1se","model2",1,80,8,14,4,14,1
"cvc","model2",1,80,8,14,4,14,1
"ncv1","model2",1,80,8,14,4,14,1
"ncv2","model2",1,80,8,14,4,14,1
"ncv3","model2",1,80,8,14,4,14,1
"cv","model2",1,80,9,14,4,14,1
"cv_1se","model2",1,80,9,14,4,14,1
"cvc","model2",1,80,9,14,4,14,1
"ncv1","model2",1,80,9,14,4,14,1
"ncv2","model2",1,80,9,14,4,14,1
"ncv3","model2",1,80,9,14,4,14,1
"cv","model2",1,80,10,14,4,14,1
"cv_1se","model2",1,80,10,14,4,14,1
"cvc","model2",1,80,10,14,4,14,1
"ncv1","model2",1,80,10,14,4,14,1
"ncv2","model2",1,80,10,14,4,14,1
"ncv3","model2",1,80,10,14,4,14,1
"cv","model2",4,40,1,14,4,14,1
"cv_1se","model2",4,40,1,14,4,14,1
"cvc","model2",4,40,1,14,4,14,1
"ncv1","model2",4,40,1,14,4,14,1
"ncv2","model2",4,40,1,14,4,14,1
"ncv3","model2",4,40,1,14,4,14,1
"cv","model2",4,40,2,16,5,14,0
"cv_1se","model2",4,40,2,14,4,14,1
"cvc","model2",4,40,2,14,4,14,1
"ncv1","model2",4,40,2,14,4,14,1
"ncv2","model2",4,40,2,16,5,14,0
"ncv3","model2",4,40,2,14,4,14,1
"cv","model2",4,40,3,14,4,14,1
"cv_1se","model2",4,40,3,14,4,14,1
"cvc","model2",4,40,3,14,4,14,1
"ncv1","model2",4,40,3,14,4,14,1
"ncv2","model2",4,40,3,14,4,14,1
"ncv3","model2",4,40,3,14,4,14,1
"cv","model2",4,40,4,14,4,14,1
"cv_1se","model2",4,40,4,14,4,14,1
"cvc","model2",4,40,4,14,4,14,1
"ncv1","model2",4,40,4,14,4,14,1
"ncv2","model2",4,40,4,14,4,14,1
"ncv3","model2",4,40,4,14,4,14,1
"cv","model2",4,40,5,14,4,14,1
"cv_1se","model2",4,40,5,14,4,14,1
"cvc","model2",4,40,5,14,4,14,1
"ncv1","model2",4,40,5,14,4,14,1
"ncv2","model2",4,40,5,14,4,14,1
"ncv3","model2",4,40,5,14,4,14,1
"cv","model2",4,40,6,14,4,14,1
"cv_1se","model2",4,40,6,14,4,14,1
"cvc","model2",4,40,6,14,4,14,1
"ncv1","model2",4,40,6,14,4,14,1
"ncv2","model2",4,40,6,14,4,14,1
"ncv3","model2",4,40,6,14,4,14,1
"cv","model2",4,40,7,14,4,14,1
"cv_1se","model2",4,40,7,14,4,14,1
"cvc","model2",4,40,7,14,4,14,1
"ncv1","model2",4,40,7,14,4,14,1
"ncv2","model2",4,40,7,14,4,14,1
"ncv3","model2",4,40,7,14,4,14,1
"cv","model2",4,40,8,14,4,14,1
"cv_1se","model2",4,40,8,14,4,14,1
"cvc","model2",4,40,8,14,4,14,1
"ncv1","model2",4,40,8,14,4,14,1
"ncv2","model2",4,40,8,14,4,14,1
"ncv3","model2",4,40,8,14,4,14,1
"cv","model2",4,40,9,14,4,14,1
"cv_1se","model2",4,40,9,14,4,14,1
"cvc","model2",4,40,9,14,4,14,1
"ncv1","model2",4,40,9,14,4,14,1
"ncv2","model2",4,40,9,14,4,14,1
"ncv3","model2",4,40,9,14,4,14,1
"cv","model2",4,40,10,14,4,14,1
"cv_1se","model2",4,40,10,14,4,14,1
"cvc","model2",4,40,10,14,4,14,1
"ncv1","model2",4,40,10,14,4,14,1
"ncv2","model2",4,40,10,14,4,14,1
"ncv3","model2",4,40,10,14,4,14,1
"cv","model2",4,80,1,14,4,14,1
"cv_1se","model2",4,80,1,14,4,14,1
"cvc","model2",4,80,1,14,4,14,1
"ncv1","model2",4,80,1,14,4,14,1
"ncv2","model2",4,80,1,14,4,14,1
"ncv3","model2",4,80,1,14,4,14,1
"cv","model2",4,80,2,14,4,14,1
"cv_1se","model2",4,80,2,14,4,14,1
"cvc","model2",4,80,2,14,4,14,1
"ncv1","model2",4,80,2,14,4,14,1
"ncv2","model2",4,80,2,14,4,14,1
"ncv3","model2",4,80,2,14,4,14,1
"cv","model2",4,80,3,16,5,14,0
"cv_1se","model2",4,80,3,14,4,14,1
"cvc","model2",4,80,3,14,4,14,1
"ncv1","model2",4,80,3,14,4,14,1
"ncv2","model2",4,80,3,16,5,14,0
"ncv3","model2",4,80,3,14,4,14,1
"cv","model2",4,80,4,16,5,14,0
"cv_1se","model2",4,80,4,14,4,14,1
"cvc","model2",4,80,4,14,4,14,1
"ncv1","model2",4,80,4,14,4,14,1
"ncv2","model2",4,80,4,16,5,14,0
"ncv3","model2",4,80,4,14,4,14,1
"cv","model2",4,80,5,14,4,14,1
"cv_1se","model2",4,80,5,14,4,14,1
"cvc","model2",4,80,5,14,4,14,1
"ncv1","model2",4,80,5,14,4,14,1
"ncv2","model2",4,80,5,14,4,14,1
"ncv3","model2",4,80,5,14,4,14,1
"cv","model2",4,80,6,14,4,14,1
"cv_1se","model2",4,80,6,14,4,14,1
"cvc","model2",4,80,6,14,4,14,1
"ncv1","model2",4,80,6,14,4,14,1
"ncv2","model2",4,80,6,14,4,14,1
"ncv3","model2",4,80,6,14,4,14,1
"cv","model2",4,80,7,14,4,14,1
"cv_1se","model2",4,80,7,14,4,14,1
"cvc","model2",4,80,7,14,4,14,1
"ncv1","model2",4,80,7,14,4,14,1
"ncv2","model2",4,80,7,14,4,14,1
"ncv3","model2",4,80,7,14,4,14,1
"cv","model2",4,80,8,14,4,14,1
"cv_1se","model2",4,80,8,14,4,14,1
"cvc","model2",4,80,8,14,4,14,1
"ncv1","model2",4,80,8,14,4,14,1
"ncv2","model2",4,80,8,14,4,14,1
"ncv3","model2",4,80,8,14,4,14,1
"cv","model2",4,80,9,14,4,14,1
"cv_1se","model2",4,80,9,14,4,14,1
"cvc","model2",4,80,9,14,4,14,1
"ncv1","model2",4,80,9,14,4,14,1
"ncv2","model2",4,80,9,14,4,14,1
"ncv3","model2",4,80,9,14,4,14,1
"cv","model2",4,80,10,14,4,14,1
"cv_1se","model2",4,80,10,14,4,14,1
"cvc","model2",4,80,10,14,4,14,1
"ncv1","model2",4,80,10,14,4,14,1
"ncv2","model2",4,80,10,14,4,14,1
"ncv3","model2",4,80,10,14,4,14,1
