"method","model_name","sigma2","n","selection_rate","se"
"cv","model1",1,40,0.3,0.152752523165195
"cv_1se","model1",1,40,1,0
"cvc","model1",1,40,1,0
"ncv1","model1",1,40,0.9,0.1
"ncv2","model1",1,40,0.3,0.152752523165195
"ncv3","model1",1,40,1,0
"cv","model2",1,40,1,0
"cv_1se","model2",1,40,1,0
"cvc","model2",1,40,1,0
"ncv1","model2",1,40,1,0
"ncv2","model2",1,40,1,0
"ncv3","model2",1,40,1,0
"cv","model1",4,40,0.7,0.152752523165195
"cv_1se","model1",4,40,1,0
"cvc","model1",4,40,1,0
"ncv1","model1",4,40,1,0
"ncv2","model1",4,40,0.6,0.163299316185545
"ncv3","model1",4,40,1,0
"cv","model2",4,40,0.9,0.1
"cv_1se","model2",4,40,1,0
"cvc","model2",4,40,1,0
"ncv1","model2",4,40,1,0
"ncv2","model2",4,40,0.9,0.1
"ncv3","model2",4,40,1,0
"cv","model1",1,80,0.2,0.133333333333333
"cv_1se","model1",1,80,1,0
"cvc","model1",1,80,1,0
"ncv1","model1",1,80,1,0
"ncv2","model1",1,80,0.5,0.166666666666667
"ncv3","model1",1,80,1,0
"cv","model2",1,80,0.9,0.1
"cv_1se","model2",1,80,1,0
"cvc","model2",1,80,1,0
"ncv1","model2",1,80,1,0
"ncv2","model2",1,80,1,0
"ncv3","model2",1,80,1,0
"cv","model1",4,80,0.6,0.163299316185545
"cv_1se","model1",4,80,1,0
"cvc","model1",4,80,1,0
"ncv1","model1",4,80,1,0
"ncv2","model1",4,80,0.7,0.152752523165195
"ncv3","model1",4,80,1,0
"cv","model2",4,80,0.8,0.133333333333333
"cv_1se","model2",4,80,1,0
"cvc","model2",4,80,1,0
"ncv1","model2",4,80,1,0
"ncv2","model2",4,80,0.8,0.133333333333333
"ncv3","model2",4,80,1,0
