"method","model_name","sigma2","n","selection_rate","se"
"cv","model1",1,40,0.52,0.0502116731568678
"cv_1se","model1",1,40,1,0
"cvc","model1",1,40,1,0
"ncv1","model1",1,40,0.97,0.0171446607997765
"ncv2","model1",1,40,0.6,0.0492365963917331
"ncv3","model1",1,40,0.98,0.014070529413629
"cv","model2",1,40,0.78,0.0416333199893227
"cv_1se","model2",1,40,0.99,0.01
"cvc","model2",1,40,0.98,0.014070529413629
"ncv1","model2",1,40,0.98,0.014070529413629
"ncv2","model2",1,40,0.9,0.0301511344577764
"ncv3","model2",1,40,0.98,0.014070529413629
"cv","model1",4,40,0.48,0.0502116731568678
"cv_1se","model1",4,40,0.97,0.0171446607997765
"cvc","model1",4,40,0.99,0.01
"ncv1","model1",4,40,0.96,0.0196946385566932
"ncv2","model1",4,40,0.55,0.05
"ncv3","model1",4,40,0.96,0.0196946385566932
"cv","model2",4,40,0.76,0.0429234695990928
"cv_1se","model2",4,40,0.97,0.0171446607997765
"cvc","model2",4,40,0.99,0.01
"ncv1","model2",4,40,0.98,0.014070529413629
"ncv2","model2",4,40,0.9,0.0301511344577764
"ncv3","model2",4,40,0.98,0.014070529413629
"cv","model1",1,80,0.48,0.0502116731568678
"cv_1se","model1",1,80,0.98,0.014070529413629
"cvc","model1",1,80,1,0
"ncv1","model1",1,80,0.94,0.0238683256575942
"ncv2","model1",1,80,0.54,0.0500908265962033
"ncv3","model1",1,80,0.97,0.0171446607997765
"cv","model2",1,80,0.85,0.0358870281282637
"cv_1se","model2",1,80,1,0
"cvc","model2",1,80,1,0
"ncv1","model2",1,80,1,0
"ncv2","model2",1,80,0.85,0.0358870281282637
"ncv3","model2",1,80,1,0
"cv","model1",4,80,0.5,0.0502518907629606
"cv_1se","model1",4,80,0.99,0.01
"cvc","model1",4,80,1,0
"ncv1","model1",4,80,0.99,0.01
"ncv2","model1",4,80,0.6,0.0492365963917331
"ncv3","model1",4,80,0.99,0.01
"cv","model2",4,80,0.81,0.0394277244403663
"cv_1se","model2",4,80,1,0
"cvc","model2",4,80,0.99,0.01
"ncv1","model2",4,80,0.99,0.01
"ncv2","model2",4,80,0.88,0.032659863237109
"ncv3","model2",4,80,1,0
"cv","model1",1,160,0.4,0.0492365963917331
"cv_1se","model1",1,160,1,0
"cvc","model1",1,160,1,0
"ncv1","model1",1,160,1,0
"ncv2","model1",1,160,0.63,0.048523658709391
"ncv3","model1",1,160,1,0
"cv","model2",1,160,0.78,0.0416333199893227
"cv_1se","model2",1,160,0.99,0.01
"cvc","model2",1,160,1,0
"ncv1","model2",1,160,0.98,0.014070529413629
"ncv2","model2",1,160,0.8,0.0402015126103685
"ncv3","model2",1,160,0.99,0.01
"cv","model1",4,160,0.5,0.0502518907629606
"cv_1se","model1",4,160,1,0
"cvc","model1",4,160,1,0
"ncv1","model1",4,160,0.99,0.01
"ncv2","model1",4,160,0.62,0.0487831731214563
"ncv3","model1",4,160,0.99,0.01
"cv","model2",4,160,0.88,0.032659863237109
"cv_1se","model2",4,160,1,0
"cvc","model2",4,160,1,0
"ncv1","model2",4,160,1,0
"ncv2","model2",4,160,0.87,0.0337997668989631
"ncv3","model2",4,160,1,0
"cv","model1",1,320,0.54,0.0500908265962033
"cv_1se","model1",1,320,1,0
"cvc","model1",1,320,1,0
"ncv1","model1",1,320,1,0
"ncv2","model1",1,320,0.62,0.0487831731214563
"ncv3","model1",1,320,1,0
"cv","model2",1,320,0.76,0.0429234695990928
"cv_1se","model2",1,320,1,0
"cvc","model2",1,320,1,0
"ncv1","model2",1,320,1,0
"ncv2","model2",1,320,0.77,0.0422952584681651
"ncv3","model2",1,320,1,0
"cv","model1",4,320,0.48,0.0502116731568678
"cv_1se","model1",4,320,1,0
"cvc","model1",4,320,1,0
"ncv1","model1",4,320,1,0
"ncv2","model1",4,320,0.55,0.05
"ncv3","model1",4,320,1,0
"cv","model2",4,320,0.81,0.0394277244403663
"cv_1se","model2",4,320,1,0
"cvc","model2",4,320,1,0
"ncv1","model2",4,320,1,0
"ncv2","model2",4,320,0.8,0.0402015126103685
"ncv3","model2",4,320,1,0
"cv","model1",1,640,0.51,0.0502418393795691
"cv_1se","model1",1,640,1,0
"cvc","model1",1,640,1,0
"ncv1","model1",1,640,1,0
"ncv2","model1",1,640,0.55,0.05
"ncv3","model1",1,640,1,0
"cv","model2",1,640,0.83,0.0377525168068637
"cv_1se","model2",1,640,1,0
"cvc","model2",1,640,1,0
"ncv1","model2",1,640,1,0
"ncv2","model2",1,640,0.81,0.0394277244403663
"ncv3","model2",1,640,1,0
"cv","model1",4,640,0.54,0.0500908265962033
"cv_1se","model1",4,640,1,0
"cvc","model1",4,640,1,0
"ncv1","model1",4,640,1,0
"ncv2","model1",4,640,0.63,0.048523658709391
"ncv3","model1",4,640,1,0
"cv","model2",4,640,0.75,0.0435194139889245
"cv_1se","model2",4,640,1,0
"cvc","model2",4,640,1,0
"ncv1","model2",4,640,1,0
"ncv2","model2",4,640,0.79,0.0409360180740332
"ncv3","model2",4,640,1,0
