"model_name","sigma2","n","method","selection_rate"
"model1",1,40,"bic",0.6
"model2",1,40,"bic",0.9
"model1",4,40,"bic",1
"model2",4,40,"bic",1
"model1",1,80,"bic",0.9
"model2",1,80,"bic",1
"model1",4,80,"bic",0.9
"model2",4,80,"bic",0.9
"model1",1,40,"cv",0.4
"model2",1,40,"cv",0.7
"model1",4,40,"cv",0.5
"model2",4,40,"cv",0.8
"model1",1,80,"cv",0.1
"model2",1,80,"cv",0.9
"model1",4,80,"cv",0.3
"model2",4,80,"cv",0.7
"model1",1,40,"fy",0.8
"model2",1,40,"fy",0.9
"model1",4,40,"fy",1
"model2",4,40,"fy",1
"model1",1,80,"fy",1
"model2",1,80,"fy",1
"model1",4,80,"fy",1
"model2",4,80,"fy",0.9
